"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"17873","1","정상","30","WM",1,5047,"B","S-160","CS",16422,3,2,"(주)성광테크",18
"17875","1","정상","30","AI",0.5,5188,"B","S-80","CS",17972,4,3,"(주)성광테크",23
"17878","1","정상","50","N",1.5,3118,"A","S-80","CS",7057,1,0,"건일산업(주)",9
"17879","1","정상","30","PG",0.5,1,"A","S-160","LTCS",2636,4,3,"(주)성광테크",25
"17880","1","정상","30","PG",0.5,1,"A","S-160","LTCS",2636,4,3,"(주)성광테크",25
"17882","1","정상","40","PG",0.5,1,"A","S-160","LTCS",2636,4,3,"건일산업(주)",44
"17884","1","정상","30","DH",1,1,"B","S-80","CS",1355,8,0,"(주)성광테크",36
"17885","1","정상","30","DH",1,1,"B","S-80","CS",7288,4,0,"(주)성광테크",27
"17886","1","정상","30","DH",1,1,"B","S-80","CS",11214,1,0,"(주)성광테크",27
"17887","1","정상","30","DH",1,1,"B","S-80","CS",16429,7,0,"(주)성광테크",27
"17889","1","정상","30","DH",1,1,"B","S-80","CS",11492,2,0,"(주)성광테크",27
"17890","1","정상","30","DH",1,1,"B","S-80","CS",1148,3,0,"(주)성광테크",27
"17891","1","정상","30","DH",1,1,"B","S-80","CS",1647,9,0,"(주)성광테크",52
"17892","1","정상","50","VA",0.75,1,"A","S-80","CS",14179,9,0,"건일산업(주)",46
"17893","1","정상","30","VA",0.75,1,"A","S-80","CS",4329,10,0,"성일SIM함안공장",53
"17894","1","정상","50","VA",0.75,1,"A","S-80","CS",19381,8,0,"건일산업(주)",43
"17896","1","정상","50","DH",1,1,"A","S-80","CS",20373,6,0,"건일산업(주)",43
"17897","1","정상","30","DH",1,1,"A","S-80","CS",2595,6,0,"(주)성광테크",25
"17898","1","정상","30","DH",1,1,"A","S-80","CS",7052,4,0,"(주)성광테크",25
"17899","1","정상","30","DH",1,1,"A","S-80","CS",14085,5,0,"(주)성광테크",53
"17904","1","정상","30","DH",1,1,"A","S-80","CS",14085,5,0,"(주)성광테크",23
"17906","1","정상","50","DH",1,1,"A","S-80","CS",18101,6,0,"건일산업(주)",43
"17909","1","정상","30","DH",1,1,"B","S-80","SDSS",16317,6,0,"(주)성광테크",27
"17910","1","정상","30","DH",1,1,"B","S-80","SDSS",14079,2,0,"(주)성광테크",27
"17914","1","정상","30","DH",1,1,"B","S-80","SDSS",14079,2,0,"(주)성광테크",27
"17915","1","정상","30","DH",1,1,"B","S-80","SDSS",1033,3,0,"(주)성광테크",27
"17916","1","정상","30","DH",1,1,"B","S-80","SDSS",16387,2,0,"(주)성광테크",27
"17918","1","정상","40","WD",1,487,"B","S-80S","SS",3501,6,4,"건일산업(주)",35
"17919","1","정상","40","WD",1,3854,"B","S-80S","SS",16540,5,3,"건일산업(주)",35
"17920","1","정상","50","WD",1,5092,"B","S-80S","SS",18042,5,4,"삼성중공업(주)거제",46
"17921","1","정상","50","WD",1,102,"B","S-80S","SS",21455,5,3,"삼성중공업(주)거제",43
"17923","1","정상","30","LNG",8,4638,"B","S-10S","SS",7737,3,2,"삼성중공업(주)거제",38
"17925","1","정상","40","CDD",2,2920,"B","S-10S","SS",5420,6,5,"건일산업(주)",44
"17926","1","정상","50","WD",1,4558,"A","S-80S","SS",11299,5,4,"삼성중공업(주)거제",39
"17927","1","정상","50","WD",1,3046,"A","S-80S","SS",1278,3,2,"삼성중공업(주)거제",39
"17930","1","정상","50","CDD",2,2704,"B","S-10S","SS",5361,3,2,"삼성중공업(주)거제",53
"17932","1","정상","50","WD",2,4638,"B","S-10S","SS",12480,5,2,"삼성중공업(주)거제",39
"17933","1","정상","30","WD",2,4638,"B","S-10S","SS",10750,4,2,"삼성중공업(주)거제",57
"17934","1","정상","30","WD",2,2656,"B","S-10S","SS",8768,11,10,"삼성중공업(주)거제",45
"17935","1","정상","50","WD",2,550,"A","S-10S","SS",4574,6,4,"삼성중공업(주)거제",46
"17936","1","정상","50","CDD",2,2434,"B","S-10S","SS",3696,3,2,"삼성중공업(주)거제",43
"17937","1","정상","50","PG",0.75,4531,"B","S-80S","SS",14099,6,5,"삼성중공업(주)거제",43
"17938","1","정상","50","PG",0.5,4717,"A","S-80S","SS",7052,4,3,"삼성중공업(주)거제",43
"17940","1","정상","50","PG",0.75,3894,"B","S-80S","SS",11332,3,2,"삼성중공업(주)거제",43
"17941","1","정상","40","WD",1,2924,"A","S-80S","SS",8450,6,3,"건일산업(주)",34
"17942","1","정상","50","WD",1,3808,"A","S-80S","SS",11861,7,3,"삼성중공업(주)거제",51
"17943","1","정상","30","WD",1,898,"A","S-80S","SS",1701,4,2,"삼성중공업(주)거제",38
"17944","1","정상","30","WD",1,2121,"A","S-80S","SS",1162,3,2,"삼성중공업(주)거제",34
"17945","1","정상","30","WD",1,3911,"A","S-80S","SS",1127,1,0,"삼성중공업(주)거제",45
"17946","1","정상","50","WD",1,2686,"A","S-80S","SS",6033,6,4,"삼성중공업(주)거제",46
"17947","1","정상","50","WD",1,506,"A","S-80S","SS",1616,6,4,"삼성중공업(주)거제",46
"17948","1","정상","50","WD",1,1062,"A","S-80S","SS",66,1,0,"삼성중공업(주)거제",39
"17949","1","정상","50","WD",1,3041,"A","S-80S","SS",7185,3,2,"삼성중공업(주)거제",39
"17950","0","정상","30","WD",1,3005,"B","S-80S","SS",8235,6,3,"성일",27
"17951","0","정상","30","WD",1,5023,"B","S-80S","SS",20564,5,3,"성일",16
"17952","1","정상","50","WD",1,15,"B","S-80S","SS",1711,6,4,"삼성중공업(주)거제",46
"17953","1","정상","50","WD",1,154,"B","S-80S","SS",21261,6,5,"삼성중공업(주)거제",51
"17954","1","정상","50","WD",1,504,"B","S-80S","SS",1379,5,3,"삼성중공업(주)거제",46
"17955","1","정상","50","WD",0.75,4917,"B","S-80S","SS",953,2,1,"삼성중공업(주)거제",39
"17956","1","정상","50","CDD",2,4638,"A","S-10S","SS",13297,3,1,"삼성중공업(주)거제",39
