"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","After2_Co","PaintingLT"
"5","0","정상","50","AU",2,5266,"B","S-80","CS",1362,2,1,"성일SIM함안공장","하이에어",31
"6","0","정상","50","AU",2,450,"B","S-80","CS",5243,4,2,"성일SIM함안공장","하이에어",31
"7","1","정상","50","AU",1,5123,"A","S-80","CS",14316,4,3,"건일산업(주)","건일산업(주)",21
"8","1","정상","50","AU",1,3911,"A","S-80","CS",1118,1,0,"건일산업(주)","건일산업(주)",27
"11","0","정상","50","WD",3,5233,"B","S-10S","SS",2141,2,1,"삼성중공업(주)거제","하이에어",28
"13","1","정상","50","WD",1,5123,"A","S-80S","SS",14338,4,3,"건일산업(주)","하이에어",31
"14","1","정상","50","WD",3,4638,"A","S-10S","SS",15774,4,3,"건일산업(주)","하이에어",21
"15","1","준긴급","50","FWH",6,885,"B","S-40","CS",17116,1,0,"건일산업(주)","건일산업(주)",20
"16","1","준긴급","50","CDW",2,886,"B","S-160","CS",7725,1,0,"건일산업(주)","건일산업(주)",20
"18","1","정상","3B","AU",1,1952,"B","S-80","CS",6424,8,7,"(주)성광테크","(주)성광테크",20
"19","1","준긴급","3B","FWH",6,2881,"B","S-40","CS",1920,1,0,"건일산업(주)","건일산업(주)",22
"20","1","정상","3B","AU",2,3597,"B","S-80","CS",15664,6,5,"건일산업(주)","건일산업(주)",22
"21","1","정상","3B","N",0.5,4950,"B","S-80","CS",182,2,1,"건일산업(주)","건일산업(주)",23
"22","1","정상","3B","AI",0.5,4917,"B","S-80","CS",179,2,1,"건일산업(주)","건일산업(주)",23
"25","1","정상","3B","AU",2,4638,"B","S-80","CS",18545,6,5,"건일산업(주)","건일산업(주)",23
"26","1","정상","3B","AU",2,2563,"B","S-80","CS",12260,4,3,"건일산업(주)","건일산업(주)",25
"27","1","정상","3B","AI",1,4917,"B","S-80","CS",1022,2,1,"건일산업(주)","건일산업(주)",23
"28","1","준긴급","3B","CDW",2,1409,"B","S-160","CS",9885,2,1,"건일산업(주)","건일산업(주)",22
"29","1","정상","3B","N",0.75,4961,"B","S-80","CS",958,2,1,"건일산업(주)","건일산업(주)",23
"30","1","정상","3B","AU",0.75,1069,"B","S-80","CS",994,2,1,"건일산업(주)","건일산업(주)",23
"31","1","정상","50","WD",1,1107,"A","S-80S","SS",1099,2,1,"건일산업(주)","하이에어",29
"33","1","정상","50","WD",3,4467,"A","S-10S","SS",15407,3,1,"건일산업(주)","하이에어",21
"34","1","정상","50","FW",4,214,"A","T-6.35","CN",10899,3,1,"부흥","하이에어",20
"35","1","정상","50","FWH",1,2802,"A","S-160","CS",8883,6,5,"(주)성광테크","(주)성광테크",24
"37","1","정상","50","AI",2,329,"A","S-80","CS",4799,4,2,"건일산업(주)","건일산업(주)",25
"38","1","정상","50","AU",2,396,"A","S-80","CS",3698,3,2,"건일산업(주)","건일산업(주)",25
"39","1","정상","50","N",2,396,"A","S-80","CS",3698,3,2,"건일산업(주)","건일산업(주)",25
"40","1","정상","50","CT",0.5,5211,"A","S-80S","SS",3827,5,3,"건일산업(주)","하이에어",22
"41","0","정상","40","WM",3,1661,"A","S-80","CS",15860,3,1,"성일SIM함안공장","성일SIM함안공장",20
"42","0","최소","40","AU",2,3952,"A","S-80","CS",15586,2,1,"해승케이피피","해승케이피피",20
"44","0","정상","40","CM",2,5062,"A","S-160","CS",9934,6,4,"성일SIM함안공장","성일SIM함안공장",20
"45","0","최소","40","HWR",2,2643,"A","S-80","CS",13099,3,1,"(주)성광테크","(주)성광테크",23
"46","0","최소","40","HWS",2,2643,"A","S-80","CS",13099,3,1,"(주)성광테크","(주)성광테크",23
"47","0","최소","40","N",2,3844,"A","S-80","CS",15575,2,1,"해승케이피피","해승케이피피",20
"48","0","정상","40","PL",2,792,"A","S-160","CS",12766,4,3,"성일SIM함안공장","성일SIM함안공장",20
"54","0","정상","40","WM",3,749,"A","S-80","CS",15411,4,3,"성일SIM함안공장","성일SIM함안공장",20
"64","0","최소","40","DM",2,1487,"A","S-10S","SS",5210,4,2,"삼성중공업(주)거제","하이에어",22
"65","0","최소","3B","WD",2,899,"A","S-10S","SS",6032,8,7,"삼성중공업(주)거제","하이에어",22
"67","0","최소","40","WD",3,4212,"A","S-10S","SS",15219,3,2,"삼성중공업(주)거제","하이에어",21
"70","0","최소","40","WD",3,4212,"A","S-10S","SS",15219,3,2,"삼성중공업(주)거제","하이에어",21
"71","0","최소","40","PL",4,2292,"A","S-10S","SS",18764,9,8,"삼성중공업(주)거제","하이에어",34
"72","0","최소","40","PL",4,4202,"A","S-10S","SS",17269,3,2,"삼성중공업(주)거제","하이에어",22
"77","0","정상","3B","N",2,546,"A","S-80","CS",11668,7,6,"성일SIM함안공장","성일SIM함안공장",20
"78","0","정상","3B","PL",2,1474,"A","S-160","CS",17586,8,5,"해승케이피피","해승케이피피",27
"84","0","정상","3B","WM",2,1564,"A","S-160","CS",10068,0,3,"성일SIM함안공장","성일SIM함안공장",20
"86","0","정상","3B","CDW",3,4638,"A","S-80","CS",21605,1,0,"성일SIM함안공장","성일SIM함안공장",20
"89","0","정상","3B","CDW",3,4638,"A","S-80","CS",21605,1,0,"성일SIM함안공장","성일SIM함안공장",20
"91","0","정상","3B","PL",2,1802,"A","S-160","CS",18970,8,7,"해승케이피피","해승케이피피",25
"95","0","정상","3B","CM",3,4638,"A","S-80","CS",1794,3,2,"성일SIM함안공장","성일SIM함안공장",20
"97","0","정상","3B","WM",3,1552,"A","S-80","CS",21047,5,4,"(주)성광테크","(주)성광테크",29
"100","0","정상","3B","CM",4,4638,"A","S-40","CS",8137,5,4,"해승케이피피","해승케이피피",20
"105","0","정상","3B","PL",4,4638,"A","S-40","CS",4193,8,5,"해승케이피피","해승케이피피",35
"110","1","정상","3B","WM",2,1564,"A","S-160","CS",15796,7,6,"성일SIM함안공장","성일SIM함안공장",30
"112","0","정상","40","DM",2,4638,"A","S-10S","SS",12223,3,2,"삼성중공업(주)거제","하이에어",22
"113","0","정상","40","FWL",2,2753,"A","S-10S","SS",9285,6,5,"삼성중공업(주)거제","하이에어",28
"122","0","정상","3B","CM",3,4638,"A","S-10S","SS",15267,3,2,"삼성중공업(주)거제","하이에어",30
"124","0","정상","40","WD",3,5034,"A","S-10S","SS",4010,5,4,"삼성중공업(주)거제","하이에어",28
"125","0","정상","3B","CDD",6,4638,"A","S-10S","SS",5137,2,1,"성일","하이에어",20
"126","0","정상","3B","CDD",6,4638,"A","S-10S","SS",5137,2,1,"성일","하이에어",20
"127","0","정상","40","AI",2,4638,"A","S-80","CS",15338,1,0,"(주)성광테크","(주)성광테크",29
"131","0","정상","40","DA",3,3383,"A","S-80","CS",20028,5,4,"해승케이피피","해승케이피피",25
"132","0","정상","40","PA",3,3383,"A","S-80","CS",20028,5,4,"해승케이피피","해승케이피피",24
"133","0","정상","40","AI",4,2794,"A","S-40","CS",21705,6,5,"해승케이피피","해승케이피피",23
"135","0","정상","50","AU",2,1668,"A","S-80","CS",9131,3,1,"(주)성광테크","(주)성광테크",29
"136","0","정상","40","AU",2,4638,"A","S-80","CS",15338,1,0,"(주)성광테크","(주)성광테크",29
"140","0","정상","40","HWR",2,4638,"A","S-80","CS",16674,2,1,"(주)성광테크","(주)성광테크",23
"143","0","정상","40","N",2,2920,"A","S-80","CS",15476,6,5,"해승케이피피","해승케이피피",24
"145","0","정상","40","DHW",3,1,"A","S-40","CS",21714,9,8,"해승케이피피","해승케이피피",24
"146","0","정상","40","DHW",3,1,"A","S-40","CS",21101,9,8,"성일SIM함안공장","성일SIM함안공장",29
"150","0","정상","40","PA",6,1040,"A","S-40","CS",12032,1,0,"성일SIM함안공장","성일SIM함안공장",28
"151","0","정상","40","PA",6,3031,"A","S-40","CS",4155,5,4,"성일SIM함안공장","하이에어",31
"152","0","정상","40","PA",6,4127,"A","S-40","CS",5179,3,2,"성일SIM함안공장","하이에어",44
"154","0","정상","40","CT",1.5,1924,"A","S-XXS","SS",15327,4,3,"삼성중공업(주)거제","하이에어",30
"155","0","정상","40","MT",1.5,1924,"A","S-XXS","SS",15210,4,3,"삼성중공업(주)거제","하이에어",27
"156","0","정상","40","WD",3,4638,"A","S-10S","SS",15525,3,2,"삼성중공업(주)거제","하이에어",23
"158","0","정상","40","WD",3,4173,"A","S-10S","SS",14718,3,2,"삼성중공업(주)거제","하이에어",23
"159","0","정상","40","DM",2,4638,"A","S-10S","SS",12223,3,2,"삼성중공업(주)거제","하이에어",22
"160","0","정상","40","FWL",2,4638,"A","S-10S","SS",10521,3,2,"삼성중공업(주)거제","하이에어",23
"161","0","정상","40","CM",3,1407,"A","S-XXS","SS",4095,8,7,"삼성중공업(주)거제","하이에어",23
"163","0","정상","3B","AU",2,4049,"A","S-80","CS",16840,4,3,"성일SIM함안공장","하이에어",44
"166","0","정상","3B","AU",2,4638,"A","S-80","CS",17395,3,2,"성일SIM함안공장","하이에어",44
"167","0","정상","3B","AU",2,3031,"A","S-80","CS",17665,7,6,"성일SIM함안공장","하이에어",25
"168","0","정상","3B","AU",2,4638,"A","S-80","CS",18346,4,3,"성일SIM함안공장","하이에어",44
"169","0","정상","3B","AU",2,2744,"A","S-80","CS",15625,9,8,"성일SIM함안공장","하이에어",44
"170","0","정상","3B","AU",2,3217,"A","S-80","CS",14893,5,4,"성일SIM함안공장","하이에어",38
"171","0","정상","3B","N",2,3612,"A","S-80","CS",17238,10,6,"성일SIM함안공장","하이에어",38
"172","0","정상","3B","N",2,1188,"A","S-80","CS",7637,3,2,"성일SIM함안공장","하이에어",44
"173","0","정상","3B","N",2,2305,"A","S-80","CS",14455,9,8,"성일SIM함안공장","하이에어",44
"174","0","정상","3B","N",2,4182,"A","S-80","CS",17645,6,5,"성일SIM함안공장","하이에어",44
"175","0","정상","3B","N",2,4638,"A","S-80","CS",17589,3,2,"성일SIM함안공장","하이에어",44
"176","0","정상","3B","N",2,1521,"A","S-80","CS",17381,9,8,"성일SIM함안공장","하이에어",38
"178","0","정상","3B","N",2,3147,"A","S-80","CS",18988,11,10,"성일SIM함안공장","하이에어",38
"182","0","정상","3B","N",2,1501,"A","S-80","CS",8661,3,2,"성일SIM함안공장","하이에어",44
"183","0","정상","3B","PL",2,4479,"A","S-160","CS",19989,5,4,"성일SIM함안공장","하이에어",44
"184","0","정상","3B","WM",2,844,"A","S-160","CS",17596,7,6,"성일SIM함안공장","하이에어",38
"187","0","정상","3B","FGL",2,4638,"A","S-160","CS",20090,3,2,"성일SIM함안공장","하이에어",44
"188","0","정상","3B","FGL",2,4638,"A","S-160","CS",20714,4,3,"성일SIM함안공장","하이에어",44
"189","1","정상","3B","FGL",2,4638,"A","S-160","CS",19829,3,2,"건일산업(주)","건일산업(주)",26
"196","0","정상","3B","PA",3,1407,"A","S-80","CS",17007,4,3,"성일SIM함안공장","하이에어",38
"198","0","정상","3B","FWL",4,707,"A","S-40","CS",20082,6,5,"성일SIM함안공장","하이에어",28
"201","0","정상","3B","FWL",4,1047,"A","S-40","CS",6174,1,0,"성일SIM함안공장","하이에어",50
"202","1","정상","3B","PM",4,4360,"A","S-40","CS",4163,8,7,"건일산업(주)","건일산업(주)",20
"207","0","정상","3B","CWS",6,504,"A","S-40","CS",18519,3,2,"성일SIM함안공장","하이에어",44
"208","1","정상","40","VA",6,1,"A","S-40","CS",9361,6,5,"(주)성광테크","삼녹",20
"209","1","정상","3B","WM",6,4001,"A","S-80","CS",8923,2,1,"건일산업(주)","건일산업(주)",34
"210","0","정상","3B","CI",1.5,2343,"A","S-XXS","SS",14465,4,3,"삼성중공업(주)거제","하이에어",34
"212","0","정상","3B","CT",1.5,2520,"A","S-XXS","SS",14862,4,3,"삼성중공업(주)거제","하이에어",27
"217","0","정상","3B","PW",2,3487,"A","S-10S","SS",8663,4,3,"삼성중공업(주)거제","하이에어",34
"218","0","정상","3B","PW",2,1975,"A","S-10S","SS",3781,4,3,"삼성중공업(주)거제","하이에어",39
"221","0","정상","3B","WD",3,2773,"A","S-10S","SS",9258,2,1,"삼성중공업(주)거제","하이에어",28
"222","0","정상","3B","WD",3,2933,"A","S-10S","SS",13634,8,4,"삼성중공업(주)거제","하이에어",28
"223","0","정상","50","WD",3,3396,"A","S-10S","SS",10704,2,1,"삼성중공업(주)거제","하이에어",39
"229","0","정상","3B","FWL",2,1882,"A","S-10S","SS",6328,7,6,"삼성중공업(주)거제","하이에어",22
"231","0","정상","3B","FWL",2,4638,"A","S-10S","SS",10608,3,2,"삼성중공업(주)거제","하이에어",39
"236","0","정상","3B","PW",2,3819,"A","S-10S","SS",10834,8,7,"삼성중공업(주)거제","하이에어",27
"239","0","정상","3B","WD",3,4638,"A","S-10S","SS",17756,7,6,"삼성중공업(주)거제","하이에어",39
"242","0","정상","3B","WD",3,4322,"A","S-10S","SS",15611,4,3,"삼성중공업(주)거제","하이에어",27
"247","0","정상","40","PL",2,3473,"A","S-160","CS",17385,4,3,"성일SIM함안공장","성일SIM함안공장",20
"248","0","정상","40","PL",3,3258,"A","S-80","CS",19598,4,3,"성일SIM함안공장","하이에어",31
"249","0","정상","50","PG",6,4638,"A","S-10S","SS",1747,4,3,"삼성중공업(주)거제","하이에어",40
"253","0","정상","50","PL",2,1780,"A","S-160","CS",10827,1,0,"(주)성광테크","(주)성광테크",29
"254","0","정상","50","WM",2,1772,"A","S-160","CS",10804,1,0,"(주)성광테크","(주)성광테크",29
"255","0","정상","50","WM",2,3067,"A","S-160","CS",20451,4,2,"(주)성광테크","(주)성광테크",34
"256","0","정상","3B","CDM",3,2640,"A","S-80","CS",17151,1,0,"(주)성광테크","(주)성광테크",29
"258","0","정상","50","CDM",3,1780,"A","S-80","CS",14508,1,0,"(주)성광테크","(주)성광테크",29
"261","0","정상","50","CM",3,1773,"A","S-80","CS",14493,1,0,"(주)성광테크","(주)성광테크",29
"262","0","정상","3B","PL",3,2640,"A","S-80","CS",17765,2,1,"(주)성광테크","(주)성광테크",29
"264","0","정상","50","WM",3,1780,"A","S-80","CS",14508,1,0,"(주)성광테크","(주)성광테크",29
"267","0","정상","50","CM",3,1496,"A","S-80","CS",14677,3,1,"(주)성광테크","(주)성광테크",34
"270","0","정상","50","PL",4,1773,"A","S-40","CS",14924,1,0,"(주)성광테크","(주)성광테크",29
"273","0","정상","50","PL",6,1773,"A","S-40","CS",19951,1,0,"(주)성광테크","(주)성광테크",29
"276","0","정상","3B","PL",2,4274,"B","S-160","CS",19543,3,2,"성일SIM함안공장","하이에어",44
"277","0","정상","3B","PL",2,4274,"B","S-160","CS",19666,3,2,"성일SIM함안공장","하이에어",44
"278","0","정상","50","PL",2,2562,"B","S-160","CS",14534,2,1,"성일SIM함안공장","하이에어",38
"280","0","정상","3B","PL",2,4638,"B","S-160","CS",20722,4,3,"성일SIM함안공장","하이에어",44
"282","0","정상","3B","PL",2,4274,"B","S-160","CS",19666,3,2,"성일SIM함안공장","하이에어",44
"283","0","정상","50","PL",2,1751,"B","S-160","CS",10739,1,0,"성일SIM함안공장","하이에어",44
"286","0","정상","3B","PL",3,4373,"B","S-80","CS",21700,2,1,"성일SIM함안공장","하이에어",38
"287","0","정상","3B","WM",3,4373,"B","S-80","CS",21700,2,1,"성일SIM함안공장","하이에어",38
"288","0","정상","3B","PL",6,1040,"B","S-40","CS",12839,4,3,"성일SIM함안공장","하이에어",31
"290","0","정상","50","PL",6,1751,"B","S-40","CS",19897,1,0,"성일SIM함안공장","하이에어",44
"293","0","정상","3B","AU",1,3911,"B","S-80","CS",1118,1,0,"성일SIM함안공장","하이에어",25
"294","0","정상","40","CDW",3,1002,"B","S-80","CS",5561,3,2,"성일SIM함안공장","하이에어",38
"305","0","정상","3B","WD",1,3911,"A","S-80S","SS",1127,1,0,"삼성중공업(주)거제","하이에어",27
"307","0","정상","3B","CM",3,4638,"A","S-XXS","SS",5664,3,2,"삼성중공업(주)거제","하이에어",28
"310","0","정상","3B","CM",3,3595,"A","S-10S","SS",17022,9,8,"삼성중공업(주)거제","하이에어",22
"319","0","정상","40","CDD",6,4638,"B","S-10S","SS",4169,3,2,"삼성중공업(주)거제","하이에어",27
"322","0","정상","40","WD",1,3127,"B","S-80S","SS",11277,4,3,"삼성중공업(주)거제","하이에어",39
"323","0","정상","3B","WD",1,2991,"B","S-80S","SS",5895,4,3,"삼성중공업(주)거제","하이에어",27
"328","0","정상","3B","PA",6,1781,"A","S-40","CS",19964,1,0,"(주)성광테크","(주)성광테크",29
"336","0","정상","50","PA",6,2722,"B","S-40","CS",1783,1,0,"성일SIM함안공장","하이에어",44
"346","0","정상","40","CM",3,1885,"A","S-10S","SS",8722,3,2,"삼성중공업(주)거제","하이에어",21
"347","0","정상","40","WD",1,4638,"B","S-80S","SS",7464,2,1,"삼성중공업(주)거제","하이에어",39
"349","1","정상","50","WM",6,1773,"A","S-80","CS",2439,1,0,"건일산업(주)","건일산업(주)",20
"350","1","정상","40","CWR",8,4661,"A","S-20","CS",11703,6,5,"(주)성광테크","(주)성광테크",22
"352","0","정상","50","AI",2,2836,"B","S-80","CS",14611,6,5,"성일SIM함안공장","하이에어",38
"354","1","정상","3B","FGL",2,3952,"B","S-160","CS",18899,3,2,"(주)성광테크","(주)성광테크",20
"360","0","정상","50","WM",2,1780,"B","S-160","CS",10827,1,0,"성일SIM함안공장","하이에어",44
"362","1","정상","40","FWL",4,1022,"B","S-40","CS",5640,1,0,"건일산업(주)","건일산업(주)",31
"363","1","정상","40","FWL",4,1040,"B","S-40","CS",6132,1,0,"건일산업(주)","건일산업(주)",35
"366","1","정상","3B","PL",2,3358,"B","S-160","CS",16684,2,1,"(주)성광테크","(주)성광테크",20
"367","0","정상","50","PM",4,1021,"B","S-40","CS",6233,5,4,"성일SIM함안공장","하이에어",39
"368","0","정상","50","PM",4,1040,"B","S-40","CS",6609,4,3,"성일SIM함안공장","하이에어",39
"370","0","정상","50","AU",1,3507,"B","S-80","CS",8274,5,4,"성일SIM함안공장","하이에어",38
"371","0","정상","50","DM",2,1645,"A","S-10S","SS",2225,2,1,"삼성중공업(주)거제","하이에어",39
"372","0","정상","40","DM",2,3452,"A","S-10S","SS",10231,5,4,"삼성중공업(주)거제","하이에어",21
"373","0","정상","50","DM",2,1906,"A","S-10S","SS",3450,2,1,"삼성중공업(주)거제","하이에어",21
"374","0","정상","50","FWL",2,1454,"A","S-10S","SS",21362,2,1,"삼성중공업(주)거제","하이에어",39
"375","0","정상","3B","PCW",2,957,"A","S-10S","SS",3167,3,2,"삼성중공업(주)거제","하이에어",28
"378","0","정상","40","PW",2,3265,"A","S-10S","SS",8519,5,4,"삼성중공업(주)거제","하이에어",28
"379","0","정상","50","PW",2,1359,"A","S-10S","SS",3753,3,1,"삼성중공업(주)거제","하이에어",21
"381","0","정상","40","WD",1,2491,"A","S-80S","SS",7589,8,7,"삼성중공업(주)거제","하이에어",28
"382","0","정상","40","WD",1,3322,"A","S-80S","SS",7419,4,3,"삼성중공업(주)거제","하이에어",28
"383","0","정상","50","PW",2,1906,"A","S-10S","SS",3450,2,1,"삼성중공업(주)거제","하이에어",22
"384","0","정상","3B","PW",2,2487,"A","S-10S","SS",9392,6,5,"삼성중공업(주)거제","하이에어",22
"385","0","정상","3B","PW",2,4227,"A","S-10S","SS",9069,2,1,"삼성중공업(주)거제","하이에어",28
"387","0","정상","3B","WD",2,3249,"A","S-10S","SS",8829,8,4,"삼성중공업(주)거제","하이에어",28
"389","0","정상","3B","WD",3,4638,"A","S-10S","SS",15617,5,4,"삼성중공업(주)거제","하이에어",39
"391","0","정상","50","DM",2,2728,"B","S-10S","SS",3821,1,0,"삼성중공업(주)거제","하이에어",39
"393","0","정상","50","PW",2,1212,"B","S-10S","SS",3386,3,1,"삼성중공업(주)거제","하이에어",28
"396","0","정상","3B","PCW",2,2033,"B","S-10S","SS",15483,7,6,"삼성중공업(주)거제","하이에어",27
"397","1","정상","3B","WD",3,3503,"B","S-10S","SS",108,0,4,"삼성중공업(주)거제","성도",22
"399","1","정상","3B","WD",3,4638,"B","S-10S","SS",17085,5,4,"삼성중공업(주)거제","성도",22
"404","0","정상","50","HWR",8,4638,"A","S-20","CS",10635,4,3,"성일SIM함안공장","하이에어",35
"405","0","정상","40","HWR",8,2871,"A","S-20","CS",5098,6,5,"성일SIM함안공장","하이에어",35
"407","0","정상","50","HWS",8,4638,"A","S-20","CS",10027,4,3,"성일SIM함안공장","하이에어",35
"408","0","정상","50","FWL",2,4110,"A","S-10S","SS",9534,3,2,"삼성중공업(주)거제","하이에어",22
"412","0","정상","40","HWS",6,1961,"B","S-40","CS",6624,7,6,"성일SIM함안공장","하이에어",29
"414","0","정상","3B","HWS",6,1961,"B","S-40","CS",4711,5,4,"성일SIM함안공장","하이에어",35
"415","0","정상","40","FWH",6,957,"A","S-10S","SS",10081,1,0,"삼성중공업(주)거제","하이에어",20
"416","0","정상","3B","FWL",8,3592,"A","S-20","CS",4481,0,3,"성일SIM함안공장","하이에어",38
"418","0","정상","40","FWL",8,1706,"A","S-20","CS",1769,2,1,"성일SIM함안공장","하이에어",38
"419","0","정상","50","FWL",8,1306,"A","S-20","CS",21559,2,1,"성일SIM함안공장","하이에어",38
"421","0","정상","3B","VA",3,3207,"A","S-10S","SS",76,0,5,"삼성중공업(주)거제","하이에어",30
"422","0","정상","3B","VA",3,959,"A","S-10S","SS",16311,0,8,"삼성중공업(주)거제","하이에어",26
"423","0","정상","50","VA",3,1557,"A","S-10S","SS",7870,2,1,"삼성중공업(주)거제","하이에어",37
"428","0","정상","3B","PL",2,4638,"A","S-160","CS",20722,4,3,"해승케이피피","해승케이피피",27
"431","0","정상","3B","PL",2,4638,"A","S-160","CS",20722,4,3,"해승케이피피","해승케이피피",27
"438","0","정상","40","PA",3,3952,"A","S-80","CS",20893,4,3,"해승케이피피","해승케이피피",25
"439","0","정상","3B","PL",3,3840,"A","S-80","CS",20769,2,1,"성일SIM함안공장","성일SIM함안공장",28
"442","0","정상","3B","WM",3,4483,"A","S-80","CS",1889,3,2,"해승케이피피","해승케이피피",27
"443","0","정상","3B","WM",3,4483,"A","S-80","CS",1742,3,2,"해승케이피피","해승케이피피",24
"445","0","정상","3B","WM",3,3840,"A","S-80","CS",20769,2,1,"성일SIM함안공장","성일SIM함안공장",28
"446","0","정상","40","DHW",4,1,"A","S-40","CS",3653,3,2,"성일SIM함안공장","성일SIM함안공장",31
"448","0","정상","50","DHW",4,1,"A","S-40","CS",17001,3,1,"성일SIM함안공장","성일SIM함안공장",31
"449","0","정상","3B","PL",4,1047,"A","S-40","CS",6677,3,2,"해승케이피피","해승케이피피",24
"450","0","정상","3B","PL",4,4653,"A","S-40","CS",1946,3,2,"해승케이피피","해승케이피피",24
"451","0","정상","3B","PL",4,1033,"A","S-40","CS",6217,3,2,"해승케이피피","해승케이피피",24
"452","0","정상","3B","WM",4,1047,"A","S-40","CS",6677,3,2,"해승케이피피","해승케이피피",24
"454","0","정상","3B","WM",4,1033,"A","S-40","CS",6217,3,2,"해승케이피피","해승케이피피",24
"455","0","정상","3B","DF",6,4191,"A","S-40","CS",6110,5,4,"해승케이피피","해승케이피피",24
"456","0","정상","40","DF",6,4355,"A","S-40","CS",7788,5,4,"해승케이피피","해승케이피피",27
"457","0","정상","3B","DF",6,913,"A","S-40","CS",18728,2,1,"해승케이피피","해승케이피피",27
"458","0","정상","3B","DF",6,1033,"A","S-40","CS",12550,3,2,"해승케이피피","해승케이피피",24
"459","0","정상","3B","DF",6,996,"A","S-40","CS",10983,3,2,"해승케이피피","해승케이피피",24
"460","0","정상","3B","FGL",6,4696,"A","S-40","CS",6690,2,1,"해승케이피피","해승케이피피",24
"461","0","정상","3B","FGL",6,1033,"A","S-40","CS",12558,4,3,"해승케이피피","해승케이피피",27
"463","0","정상","3B","PL",6,1033,"A","S-40","CS",12550,3,2,"해승케이피피","해승케이피피",24
"465","0","정상","3B","PL",6,4696,"A","S-40","CS",7797,4,3,"해승케이피피","해승케이피피",24
"466","0","정상","40","CDD",6,4638,"A","S-10S","SS",5115,3,2,"성일","하이에어",20
"468","0","정상","40","CWR",0.75,1058,"A","S-80","CS",988,2,1,"성일SIM함안공장","하이에어",38
"469","0","정상","50","CDW",2,415,"A","S-160","CS",10854,4,3,"성일SIM함안공장","하이에어",38
"470","0","정상","40","CDW",2,500,"A","S-160","CS",11535,5,4,"성일SIM함안공장","하이에어",42
"472","0","정상","40","DA",3,2423,"A","S-80","CS",17694,4,3,"성일SIM함안공장","하이에어",38
"473","0","정상","40","PA",3,1601,"A","S-80","CS",18437,3,2,"성일SIM함안공장","하이에어",38
"474","0","정상","40","PA",3,2423,"A","S-80","CS",17694,4,3,"성일SIM함안공장","하이에어",38
"477","0","정상","50","PA",6,2706,"A","S-40","CS",1760,1,0,"성일SIM함안공장","하이에어",44
"479","0","정상","40","CDD",3,4471,"A","S-10S","SS",15283,3,2,"삼성중공업(주)거제","하이에어",34
"480","0","정상","50","AU",2,1407,"A","S-80","CS",8357,3,1,"성일SIM함안공장","하이에어",44
"481","0","정상","50","CDW",2,4638,"A","S-160","CS",19676,3,2,"성일SIM함안공장","하이에어",38
"483","0","정상","50","N",2,1405,"A","S-80","CS",8354,3,1,"성일SIM함안공장","하이에어",44
"484","1","정상","40","PL",2,4638,"A","S-160","CS",19926,3,2,"건일산업(주)","건일산업(주)",25
"486","0","정상","50","PL",2,1772,"A","S-160","CS",10804,1,0,"성일SIM함안공장","하이에어",44
"487","0","정상","50","WM",2,1773,"A","S-160","CS",10808,1,0,"성일SIM함안공장","하이에어",44
"488","0","정상","50","AI",4,1476,"A","S-40","CS",16845,3,1,"성일SIM함안공장","하이에어",44
"491","0","정상","40","DM",2,2582,"A","S-10S","SS",8538,5,4,"삼성중공업(주)거제","하이에어",30
"492","0","정상","40","DM",2,1247,"A","S-10S","SS",4310,4,3,"삼성중공업(주)거제","하이에어",30
"493","0","정상","40","DM",2,4638,"A","S-10S","SS",12500,6,5,"삼성중공업(주)거제","하이에어",23
"495","0","정상","40","DM",2,4638,"A","S-10S","SS",12480,5,4,"삼성중공업(주)거제","하이에어",24
"499","0","정상","40","PW",2,4422,"A","S-10S","SS",9556,2,1,"삼성중공업(주)거제","하이에어",27
"500","0","정상","40","PW",2,4638,"A","S-10S","SS",8858,1,0,"삼성중공업(주)거제","하이에어",27
"503","0","정상","40","PW",2,4046,"A","S-10S","SS",8666,2,1,"삼성중공업(주)거제","하이에어",22
"504","0","정상","50","PW",2,1260,"A","S-10S","SS",3455,3,1,"삼성중공업(주)거제","하이에어",28
"505","0","정상","40","PW",2,2995,"A","S-10S","SS",8790,4,3,"삼성중공업(주)거제","하이에어",30
"506","0","정상","40","WD",2,3005,"A","S-10S","SS",9113,5,4,"삼성중공업(주)거제","하이에어",24
"507","0","정상","40","WD",2,3342,"A","S-10S","SS",9130,5,4,"삼성중공업(주)거제","하이에어",24
"509","0","정상","40","WD",3,4638,"A","S-10S","SS",18324,7,6,"삼성중공업(주)거제","하이에어",30
"510","0","정상","40","WD",3,4638,"A","S-10S","SS",17103,6,5,"삼성중공업(주)거제","하이에어",24
"511","0","정상","40","WD",3,4638,"A","S-10S","SS",17175,6,5,"삼성중공업(주)거제","하이에어",24
"512","0","정상","40","WD",3,3499,"A","S-10S","SS",13122,3,2,"삼성중공업(주)거제","하이에어",30
"513","0","정상","40","WD",3,4638,"A","S-10S","SS",17175,6,5,"삼성중공업(주)거제","하이에어",24
"514","0","정상","50","WD",3,1820,"A","S-10S","SS",5368,1,0,"삼성중공업(주)거제","하이에어",39
"515","0","정상","40","PG",6,3374,"A","S-40","CS",9654,10,9,"해승케이피피","해승케이피피",23
