"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","After2_Co","PaintingLT"
"2528","1","정상","30","N",1,1725,"B","S-80","CS",21347,3,2,"건일산업(주)","건일산업(주)",47
"2529","1","정상","30","N",1,2188,"B","S-80","CS",4904,5,4,"(주)성광테크","(주)성광테크",20
"2530","1","정상","30","HWR",2,979,"","S-80","CS",9918,8,7,"(주)성광테크","(주)성광테크",33
"2531","1","정상","50","DH",2,1,"","S-80","CS",13276,4,3,"건일산업(주)","삼녹",20
"2532","1","정상","50","DH",2,2965,"","S-80","CS",13277,4,3,"건일산업(주)","삼녹",23
"2533","1","정상","50","PL",2,809,"","S-160","CS",12723,6,5,"건일산업(주)","건일산업(주)",23
"2534","1","정상","50","CDW",2,550,"","S-160","CS",12879,7,6,"건일산업(주)","건일산업(주)",20
"2535","1","정상","50","PL",3,3080,"","S-80","CS",7511,5,4,"건일산업(주)","건일산업(주)",23
"2536","1","정상","50","PL",3,102,"","S-80","CS",13608,5,4,"건일산업(주)","건일산업(주)",23
"2537","1","정상","30","AU",1,4638,"A","S-80","CS",6405,1,0,"건일산업(주)","하이에어",26
"2538","1","정상","30","AU",1,3121,"A","S-80","CS",1017,1,0,"건일산업(주)","건일산업(주)",20
"2539","1","정상","30","N",1,4422,"A","S-80","CS",6014,1,0,"건일산업(주)","하이에어",26
"2540","1","정상","30","N",1,2123,"A","S-80","CS",1216,3,2,"건일산업(주)","건일산업(주)",22
"2541","1","정상","30","N",0.75,1026,"A","S-80","CS",981,2,1,"건일산업(주)","건일산업(주)",33
"2542","1","정상","30","HWS",6,302,"A","S-40","CS",21128,6,5,"건일산업(주)","건일산업(주)",27
"2543","1","정상","50","HWS",4,1220,"A","S-40","CS",19756,7,6,"(주)성광테크","(주)성광테크",20
"2546","1","정상","40","PG",0.75,1026,"A","S-160","CS",1209,2,1,"(주)성광테크","(주)성광테크",20
"2548","1","정상","30","DF",2,144,"B","S-160","CS",5879,5,4,"건일산업(주)","건일산업(주)",22
"2550","1","정상","30","VA",3,1,"","S-40","CS",21102,7,6,"건일산업(주)","삼녹",21
"2551","1","정상","30","VA",3,1,"","S-40","CS",21948,7,6,"건일산업(주)","삼녹",21
"2552","1","정상","30","DH",4,1,"B","S-40","CS",14738,9,8,"(주)성광테크","(주)성광테크",26
"2557","1","정상","50","VA",4,1,"A","S-40","CS",18709,4,3,"(주)성광테크","삼녹",22
"2558","1","정상","50","VA",4,1,"A","S-40","CS",19752,6,5,"(주)성광테크","삼녹",22
"2559","1","정상","30","DH",6,1,"B","S-40","CS",14943,7,6,"(주)성광테크","삼녹",20
"2560","1","준긴급","30","DH",4,1,"B","S-40","CS",17232,7,6,"건일산업(주)","삼녹",30
"2562","1","정상","30","DH",1,1,"A","S-80","CS",14200,5,0,"(주)성광테크","(주)성광테크",42
"2563","1","정상","50","WD",1,1798,"A","S-80S","SS",1520,3,2,"건일산업(주)","하이에어",26
