"","no_project","block","direction1","direction2","shape","division","work","long","width","height","total_weight","workday_plan","workday_record"
"1","H8003","A","11","C","0","H","A",6.04,2.624,6.104,22.743,1,12
"2","H8003","A","11","C","0","H","A",6.04,2.624,6.104,22.743,15,14
"3","H8003","A","11","C","0","H","B",6.04,2.624,6.104,22.743,32,32
"4","H8003","A","11","C","0","H","C",6.04,2.624,6.104,22.743,70,72
"5","H8003","A","11","C","0","H","E",6.04,2.624,6.104,22.743,22,28
"6","H8003","A","11","C","0","M","A",6.04,2.624,6.104,22.743,6,32
"7","H8003","A","11","C","0","P","A",6.04,2.624,6.104,22.743,12,12
"8","H8003","A","11","C","0","P","A",6.04,2.624,6.104,22.743,11,19
"9","H8003","A","11","C","0","S","A",6.04,2.624,6.104,22.743,53,63
"10","H8003","A","11","C","1","H","C",3.538,2.681,2.681,8.447,25,25
"11","H8003","A","21","C","0","A","A",7.7,19.007,3.7,106.242,43,1
"12","H8003","A","21","C","0","H","A",7.7,19.007,3.7,106.242,11,11
"13","H8003","A","21","C","0","H","A",7.7,19.007,3.7,106.242,15,15
"14","H8003","A","21","C","0","H","B",7.7,19.007,3.7,106.242,4,6
"15","H8003","A","21","C","0","H","C",7.7,19.007,3.7,106.242,5,2
"16","H8003","A","21","C","0","H","C",7.7,19.007,3.7,106.242,57,57
"17","H8003","A","21","C","0","H","E",7.7,19.007,3.7,106.242,25,21
"18","H8003","A","21","C","0","M","A",7.7,19.007,3.7,106.242,7,51
"19","H8003","A","21","C","0","P","A",7.7,19.007,3.7,106.242,24,29
"20","H8003","A","21","C","0","S","A",7.7,19.007,3.7,106.242,43,44
"21","H8003","A","21","C","1","H","C",7.708,10.355,4.22,26.317,31,31
"22","H8003","A","21","C","2","H","C",7.708,10.355,4.22,28.375,31,31
"23","H8003","A","31","C","0","A","A",11.815,24.6,5.238,173.28,41,1
"24","H8003","A","31","C","0","E","A",11.815,24.6,5.238,173.28,14,1
"25","H8003","A","31","C","0","H","A",11.815,24.6,5.238,173.28,1,5
"26","H8003","A","31","C","0","H","A",11.815,24.6,5.238,173.28,22,34
"27","H8003","A","31","C","0","H","B",11.815,24.6,5.238,173.28,10,8
"28","H8003","A","31","C","0","H","C",11.815,24.6,5.238,173.28,3,5
"29","H8003","A","31","C","0","H","C",11.815,24.6,5.238,173.28,49,52
"30","H8003","A","31","C","0","H","E",11.815,24.6,5.238,173.28,28,24
"31","H8003","A","31","C","0","M","A",11.815,24.6,5.238,173.28,14,32
"32","H8003","A","31","C","0","P","A",11.815,24.6,5.238,173.28,30,35
"34","H8003","A","31","C","1","H","C",6.8,9,4.9,26.858,19,24
"35","H8003","A","31","C","2","H","C",7.755,5.66,4.51,15.162,19,24
"36","H8003","A","31","C","3","H","C",6.8,9,4.9,26.858,19,24
"37","H8003","A","31","C","4","H","C",7.755,5.66,4.51,15.162,19,24
"38","H8003","A","41","C","0","A","A",11.814,25.982,5.49,145.447,39,1
"39","H8003","A","41","C","0","D","A",11.814,25.982,5.49,145.447,22,12
"40","H8003","A","41","C","0","E","A",11.814,25.982,5.49,145.447,14,2
"41","H8003","A","41","C","0","E","A",11.814,25.982,5.49,145.447,10,3
"42","H8003","A","41","C","0","H","A",11.814,25.982,5.49,145.447,1,30
"43","H8003","A","41","C","0","H","A",11.814,25.982,5.49,145.447,15,7
"44","H8003","A","41","C","0","H","B",11.814,25.982,5.49,145.447,5,8
"45","H8003","A","41","C","0","H","C",11.814,25.982,5.49,145.447,3,2
"46","H8003","A","41","C","0","H","C",11.814,25.982,5.49,145.447,49,50
"47","H8003","A","41","C","0","H","E",11.814,25.982,5.49,145.447,21,28
"48","H8003","A","41","C","0","M","A",11.814,25.982,5.49,145.447,22,29
"49","H8003","A","41","C","0","M","A",11.814,25.982,5.49,145.447,10,28
"50","H8003","A","41","C","0","P","A",11.814,25.982,5.49,145.447,15,16
"51","H8003","A","41","C","0","S","A",11.814,25.982,5.49,145.447,39,36
"52","H8003","A","41","C","0","S","B",11.814,25.982,5.49,145.447,10,14
"54","H8003","A","41","C","1","H","C",14,5.4,2.59,20.36,33,26
"55","H8003","A","41","C","2","H","C",14,5.4,2.59,19.386,33,26
"56","H8003","B","11","C","0","D","A",12.66,14.08,2.18,74.835,33,34
"57","H8003","B","11","C","0","H","A",12.66,14.08,2.18,74.835,2,15
"58","H8003","B","11","C","0","H","A",12.66,14.08,2.18,74.835,23,27
"59","H8003","B","11","C","0","H","B",12.66,14.08,2.18,74.835,7,6
"60","H8003","B","11","C","0","H","C",12.66,14.08,2.18,74.835,3,3
"61","H8003","B","11","C","0","H","C",12.66,14.08,2.18,74.835,38,24
"62","H8003","B","11","C","1","D","A",12.66,14.08,2.165,47.002,5,26
"63","H8003","B","11","C","1","H","C",12.66,14.08,2.165,47.002,3,4
"64","H8003","B","11","C","1","H","C",12.66,14.08,2.165,47.002,38,16
"65","H8003","B","12","C","0","D","A",12.7,20.721,2.18,119.888,21,21
"66","H8003","B","12","C","0","H","A",12.7,20.721,2.18,119.888,2,14
"67","H8003","B","12","C","0","H","A",12.7,20.721,2.18,119.888,22,29
"68","H8003","B","12","C","0","H","B",12.7,20.721,2.18,119.888,4,5
"69","H8003","B","12","C","0","H","C",12.7,20.721,2.18,119.888,3,3
"70","H8003","B","12","C","0","H","C",12.7,20.721,2.18,119.888,38,30
"71","H8003","B","12","C","1","D","A",12.7,11.86,2.165,46.461,5,14
"72","H8003","B","12","C","1","H","C",12.7,11.86,2.165,46.461,3,3
"73","H8003","B","12","C","1","H","C",12.7,11.86,2.165,46.461,38,5
"74","H8003","B","12","C","2","H","C",12.7,8.86,2.165,29.891,3,3
"75","H8003","B","12","C","2","H","C",12.7,8.86,2.165,29.891,38,5
"76","H8003","B","13","C","G","H","D",13.93,32.2,7.787,280.822,6,3
"77","H8003","B","13","C","G","H","E",13.93,32.2,7.787,280.822,28,42
"78","H8003","B","13","C","G","P","A",13.93,32.2,7.787,280.822,39,39
"79","H8003","B","13","C","G","S","A",13.93,32.2,7.787,280.822,13,1
"80","H8003","B","13","P","0","D","A",13.93,13.36,7.787,153.028,34,28
"81","H8003","B","13","P","0","H","A",13.93,13.36,7.787,153.028,2,16
"82","H8003","B","13","P","0","H","A",13.93,13.36,7.787,153.028,15,21
"83","H8003","B","13","P","0","H","B",13.93,13.36,7.787,153.028,10,4
"84","H8003","B","13","P","0","H","C",13.93,13.36,7.787,153.028,3,2
"85","H8003","B","13","P","0","H","C",13.93,13.36,7.787,153.028,48,47
"86","H8003","B","13","P","0","S","A",13.93,13.36,7.787,153.028,27,2
"87","H8003","B","13","P","1","H","C",13.93,8.41,3.722,42.02,5,2
"88","H8003","B","13","P","1","H","C",13.93,8.41,3.722,42.02,48,40
"89","H8003","B","13","P","2","H","C",13.93,6.315,3.964,41.696,48,47
"90","H8003","B","13","P","3","D","A",13.93,14.15,2.165,63.789,7,19
"91","H8003","B","13","P","3","H","C",13.93,14.15,2.165,63.789,5,2
"92","H8003","B","13","P","3","H","C",13.93,14.15,2.165,63.789,48,42
"93","H8003","B","13","S","0","D","A",13.93,14.686,7.787,127.794,34,28
"94","H8003","B","13","S","0","H","B",13.93,14.686,7.787,127.794,10,4
"95","H8003","B","13","S","0","H","C",13.93,14.686,7.787,127.794,5,1
"96","H8003","B","13","S","0","H","C",13.93,14.686,7.787,127.794,54,50
"97","H8003","B","13","S","0","S","A",13.93,14.686,7.787,127.794,27,2
"98","H8003","B","13","S","1","H","C",13.93,8.41,3.722,42.02,3,1
"99","H8003","B","13","S","1","H","C",13.93,8.41,3.722,42.02,54,40
"100","H8003","B","13","S","2","H","C",13.93,6.315,3.964,41.696,54,50
"101","H8003","B","13","S","3","D","A",13.93,11.15,2.165,42.454,7,19
"102","H8003","B","13","S","3","H","C",13.93,11.15,2.165,42.454,3,1
"103","H8003","B","13","S","3","H","C",13.93,11.15,2.165,42.454,54,50
"104","H8003","B","14","C","G","D","A",13.62,24.3,2.18,173.822,7,10
"106","H8003","B","14","C","G","H","E",13.62,24.3,2.18,173.822,25,54
"107","H8003","B","14","C","G","P","A",13.62,24.3,2.18,173.822,31,31
"108","H8003","B","14","C","G","S","A",13.62,24.3,2.18,173.822,11,40
"109","H8003","B","14","P","0","D","A",13.62,13.65,2.18,99.636,36,10
"110","H8003","B","14","P","0","H","A",13.62,13.65,2.18,99.636,19,28
"111","H8003","B","14","P","0","H","A",13.62,13.65,2.18,99.636,15,1
"112","H8003","B","14","P","0","H","B",13.62,13.65,2.18,99.636,8,2
"113","H8003","B","14","P","0","H","C",13.62,13.65,2.18,99.636,3,5
"114","H8003","B","14","P","0","H","C",13.62,13.65,2.18,99.636,34,21
"115","H8003","B","14","P","1","D","A",13.62,13.65,2.165,62.381,7,6
"116","H8003","B","14","P","1","H","C",13.62,13.65,2.165,62.381,3,2
"117","H8003","B","14","P","1","H","C",13.62,13.65,2.165,62.381,34,21
"118","H8003","B","14","S","0","D","A",13.62,10.65,2.18,74.186,36,10
"119","H8003","B","14","S","0","H","B",13.62,10.65,2.18,74.186,8,2
"120","H8003","B","14","S","0","H","C",13.62,10.65,2.18,74.186,3,2
"121","H8003","B","14","S","0","H","C",13.62,10.65,2.18,74.186,34,21
"122","H8003","B","14","S","1","D","A",13.62,10.65,2.165,44.836,7,6
"123","H8003","B","14","S","1","H","C",13.62,10.65,2.165,44.836,3,1
"124","H8003","B","14","S","1","H","C",13.62,10.65,2.165,44.836,34,21
"126","H8003","B","15","C","M","H","E",43.74,24.3,16.415,961.269,19,36
"127","H8003","B","15","C","M","S","A",43.74,24.3,16.415,961.269,14,32
"128","H8003","B","15","P","0","D","A",15,13.65,2.18,111.441,7,17
"129","H8003","B","15","P","0","H","A",15,13.65,2.18,111.441,10,16
"130","H8003","B","15","P","0","H","A",15,13.65,2.18,111.441,15,1
"131","H8003","B","15","P","0","H","B",15,13.65,2.18,111.441,4,5
"132","H8003","B","15","P","0","H","C",15,13.65,2.18,111.441,3,2
"133","H8003","B","15","P","0","H","C",15,13.65,2.18,111.441,31,21
"134","H8003","B","15","P","1","D","A",15,13.65,2.165,70.395,5,5
"135","H8003","B","15","P","1","H","C",15,13.65,2.165,70.395,5,2
"136","H8003","B","15","P","1","H","C",15,13.65,2.165,70.395,31,8
"137","H8003","B","15","P","G","D","A",43.62,13.65,2.165,208.478,7,11
"139","H8003","B","15","P","G","P","A",43.62,13.65,2.165,208.478,27,27
"140","H8003","B","15","P","G","S","A",43.62,13.65,2.165,208.478,13,1
"141","H8003","B","15","S","0","D","A",15,10.65,2.18,83.499,8,9
"142","H8003","B","15","S","0","H","B",15,10.65,2.18,83.499,4,5
"143","H8003","B","15","S","0","H","C",15,10.65,2.18,83.499,5,2
"144","H8003","B","15","S","0","H","C",15,10.65,2.18,83.499,35,32
"145","H8003","B","15","S","1","D","A",15,10.65,2.165,50.36,7,12
"146","H8003","B","15","S","1","H","C",15,10.65,2.165,50.36,3,4
"147","H8003","B","15","S","1","H","C",15,10.65,2.165,50.36,35,26
"148","H8003","B","15","S","G","D","A",28.62,10.65,2.165,155.843,7,9
"150","H8003","B","15","S","G","P","A",28.62,10.65,2.165,155.843,19,20
"151","H8003","B","15","S","G","S","A",28.62,10.65,2.165,155.843,13,1
"152","H8003","B","16","P","0","D","A",13.62,13.65,2.18,97.037,8,24
"153","H8003","B","16","P","0","H","A",13.62,13.65,2.18,97.037,4,11
"154","H8003","B","16","P","0","H","A",13.62,13.65,2.18,97.037,15,1
"155","H8003","B","16","P","0","H","B",13.62,13.65,2.18,97.037,5,5
"156","H8003","B","16","P","0","H","C",13.62,13.65,2.18,97.037,5,5
"157","H8003","B","16","P","0","H","C",13.62,13.65,2.18,97.037,26,21
"158","H8003","B","16","P","1","D","A",13.62,13.65,2.165,59.457,7,12
"159","H8003","B","16","P","1","H","C",13.62,13.65,2.165,59.457,5,3
"160","H8003","B","16","P","1","H","C",13.62,13.65,2.165,59.457,26,10
"161","H8003","B","16","S","0","D","A",13.62,10.65,2.18,72.344,7,24
"162","H8003","B","16","S","0","H","B",13.62,10.65,2.18,72.344,5,5
"163","H8003","B","16","S","0","H","C",13.62,10.65,2.18,72.344,3,5
"164","H8003","B","16","S","0","H","C",13.62,10.65,2.18,72.344,30,23
"165","H8003","B","16","S","1","D","A",13.62,10.65,2.165,41.696,7,12
"166","H8003","B","16","S","1","H","C",13.62,10.65,2.165,41.696,3,2
"167","H8003","B","16","S","1","H","C",13.62,10.65,2.165,41.696,30,21
"168","H8003","B","17","C","G","D","A",15.12,24.3,2.18,201.005,8,1
"169","H8003","B","17","C","G","H","D",15.12,24.3,2.18,201.005,11,31
"170","H8003","B","17","C","G","P","A",15.12,24.3,2.18,201.005,24,28
"172","H8003","B","17","P","0","D","A",15.12,13.65,2.18,114.798,5,15
"173","H8003","B","17","P","0","H","A",15.12,13.65,2.18,114.798,2,21
"174","H8003","B","17","P","0","H","A",15.12,13.65,2.18,114.798,16,1
"175","H8003","B","17","P","0","H","B",15.12,13.65,2.18,114.798,4,4
"176","H8003","B","17","P","0","H","C",15.12,13.65,2.18,114.798,5,2
"178","H8003","B","17","P","1","D","A",15.12,13.65,2.165,73.969,5,12
"179","H8003","B","17","P","1","H","C",15.12,13.65,2.165,73.969,3,3
"180","H8003","B","17","P","1","H","C",15.12,13.65,2.165,73.969,39,17
"181","H8003","B","17","S","0","D","A",15.12,10.65,2.18,86.207,8,3
"182","H8003","B","17","S","0","H","B",15.12,10.65,2.18,86.207,4,4
"183","H8003","B","17","S","0","H","C",15.12,10.65,2.18,86.207,5,2
"184","H8003","B","17","S","0","H","C",15.12,10.65,2.18,86.207,28,9
"185","H8003","B","17","S","1","D","A",15.12,10.65,2.165,53.5,7,12
"186","H8003","B","17","S","1","H","C",15.12,10.65,2.165,53.5,3,3
"187","H8003","B","17","S","1","H","C",15.12,10.65,2.165,53.5,28,14
"188","H8003","B","18","C","G","D","A",14.905,26.6,2.18,232.196,13,6
"189","H8003","B","18","C","G","H","D",14.905,26.6,2.18,232.196,22,27
"190","H8003","B","18","C","G","P","A",14.905,26.6,2.18,232.196,29,28
"191","H8003","B","18","C","G","S","A",14.905,26.6,2.18,232.196,13,33
"194","H8003","B","18","C","M","S","A",30.65,31.6,16.4,777.813,5,1
"195","H8003","B","18","P","0","D","A",14.905,13.3,2.18,70.287,7,11
"196","H8003","B","18","P","0","H","A",14.905,13.3,2.18,70.287,2,19
"197","H8003","B","18","P","0","H","A",14.905,13.3,2.18,70.287,15,1
"198","H8003","B","18","P","0","H","B",14.905,13.3,2.18,70.287,6,6
"199","H8003","B","18","P","0","H","C",14.905,13.3,2.18,70.287,5,6
"200","H8003","B","18","P","0","H","C",14.905,13.3,2.18,70.287,30,36
"201","H8003","B","18","P","1","D","A",14.905,13.3,2.165,62.706,8,31
"202","H8003","B","18","P","1","H","C",14.905,13.3,2.165,62.706,3,4
"203","H8003","B","18","P","1","H","C",14.905,13.3,2.165,62.706,30,31
"204","H8003","B","18","S","0","D","A",14.905,10.3,2.18,78.626,7,10
"205","H8003","B","18","S","0","H","B",14.905,10.3,2.18,78.626,6,6
"206","H8003","B","18","S","0","H","C",14.905,10.3,2.18,78.626,5,6
"207","H8003","B","18","S","0","H","C",14.905,10.3,2.18,78.626,30,30
"208","H8003","B","18","S","1","D","A",14.905,10.3,2.165,42.345,8,15
"209","H8003","B","18","S","1","H","C",14.905,10.3,2.165,42.345,3,3
"210","H8003","B","18","S","1","H","C",14.905,10.3,2.165,42.345,30,9
"211","H8003","B","19","C","0","D","A",14.765,15.5,2.18,83.283,5,36
"212","H8003","B","19","C","0","H","A",14.765,15.5,2.18,83.283,8,8
"213","H8003","B","19","C","0","H","A",14.765,15.5,2.18,83.283,15,30
"214","H8003","B","19","C","0","H","B",14.765,15.5,2.18,83.283,5,6
"215","H8003","B","19","C","0","H","C",14.765,15.5,2.18,83.283,3,1
"216","H8003","B","19","C","0","H","C",14.765,15.5,2.18,83.283,17,29
"217","H8003","B","19","C","1","D","A",14.765,15.5,2.165,50.901,8,39
"218","H8003","B","19","C","1","H","C",14.765,15.5,2.165,50.901,7,4
"219","H8003","B","19","C","1","H","C",14.765,15.5,2.165,50.901,11,4
"220","H8003","D","11","C","G","D","A",15.11,26.287,4.57,121.838,9,9
"221","H8003","D","11","C","G","H","D",15.11,26.287,4.57,121.838,10,10
"222","H8003","D","11","C","G","H","E",15.11,26.287,4.57,121.838,32,54
"223","H8003","D","11","C","G","P","A",15.11,26.287,4.57,121.838,16,16
"224","H8003","D","11","C","G","S","C",15.11,26.287,4.57,121.838,7,6
"225","H8003","D","11","P","0","D","A",15.11,13.9,4.57,77.435,6,9
"226","H8003","D","11","P","0","H","A",15.11,13.9,4.57,77.435,17,31
"227","H8003","D","11","P","0","H","A",15.11,13.9,4.57,77.435,20,6
"228","H8003","D","11","P","0","H","B",15.11,13.9,4.57,77.435,4,2
"229","H8003","D","11","P","0","H","C",15.11,13.9,4.57,77.435,5,7
"230","H8003","D","11","P","0","H","C",15.11,13.9,4.57,77.435,24,21
"231","H8003","D","11","P","1","H","C",15.249,3.574,3.213,21.66,24,22
"232","H8003","D","11","P","2","H","C",10.9,3.4,1.527,13.429,24,22
"233","H8003","D","11","S","0","D","A",15.11,12.387,4.425,44.403,6,9
"234","H8003","D","11","S","0","H","B",15.11,12.387,4.425,44.403,4,2
"235","H8003","D","11","S","0","H","C",15.11,12.387,4.425,44.403,5,7
"236","H8003","D","11","S","0","H","C",15.11,12.387,4.425,44.403,24,21
"237","H8003","D","11","S","1","H","C",10.9,3.4,1.527,13.429,24,22
"238","H8003","D","12","C","G","D","A",12.7,27.78,4.54,111.116,9,6
"239","H8003","D","12","C","G","H","D",12.7,27.78,4.54,111.116,4,4
"240","H8003","D","12","C","G","H","E",12.7,27.78,4.54,111.116,34,62
"241","H8003","D","12","C","G","P","A",12.7,27.78,4.54,111.116,22,22
"242","H8003","D","12","C","G","S","C",12.7,27.78,4.54,111.116,7,1
"243","H8003","D","12","P","0","D","A",12.7,15.39,4.54,70.07,7,6
"244","H8003","D","12","P","0","H","A",12.7,15.39,4.54,70.07,28,28
"245","H8003","D","12","P","0","H","A",12.7,15.39,4.54,70.07,16,1
"246","H8003","D","12","P","0","H","B",12.7,15.39,4.54,70.07,2,3
"247","H8003","D","12","P","0","H","C",12.7,15.39,4.54,70.07,3,2
"248","H8003","D","12","P","0","H","C",12.7,15.39,4.54,70.07,11,11
"249","H8003","D","12","P","1","H","C",12.7,3.574,3.213,20.902,11,11
"250","H8003","D","12","P","2","H","C",10.9,3.4,1.527,13.429,11,11
"251","H8003","D","12","S","0","D","A",12.7,12.39,4.425,41.046,7,6
"252","H8003","D","12","S","0","H","B",12.7,12.39,4.425,41.046,2,3
"253","H8003","D","12","S","0","H","C",12.7,12.39,4.425,41.046,3,2
"254","H8003","D","12","S","0","H","C",12.7,12.39,4.425,41.046,11,11
"255","H8003","D","12","S","1","H","C",10.9,3.4,1.527,13.429,11,11
"256","H8003","D","13","C","G","D","A",13.93,27.78,4.522,94.112,9,6
"257","H8003","D","13","C","G","H","D",13.93,27.78,4.522,94.112,3,6
"258","H8003","D","13","C","G","H","E",13.93,27.78,4.522,94.112,31,56
"259","H8003","D","13","C","G","P","A",13.93,27.78,4.522,94.112,28,28
"260","H8003","D","13","C","G","S","C",13.93,27.78,4.522,94.112,7,1
"261","H8003","D","13","P","0","D","A",13.93,15.39,4.522,60.756,5,6
"262","H8003","D","13","P","0","H","A",13.93,15.39,4.522,60.756,25,25
"263","H8003","D","13","P","0","H","B",13.93,15.39,4.522,60.756,4,3
"264","H8003","D","13","P","0","H","C",13.93,15.39,4.522,60.756,3,4
"265","H8003","D","13","P","0","H","C",13.93,15.39,4.522,60.756,10,14
"266","H8003","D","13","P","1","H","C",13.93,3.574,1.422,17.87,10,14
"267","H8003","D","13","S","0","D","A",13.93,12.39,1.03,33.356,5,6
"268","H8003","D","13","S","0","H","B",13.93,12.39,1.03,33.356,4,3
"269","H8003","D","13","S","0","H","C",13.93,12.39,1.03,33.356,3,2
"270","H8003","D","13","S","0","H","C",13.93,12.39,1.03,33.356,10,14
"271","H8003","D","14","C","G","D","A",13.62,27.775,4.582,122.27,9,14
"272","H8003","D","14","C","G","H","D",13.62,27.775,4.582,122.27,5,6
"273","H8003","D","14","C","G","H","E",13.62,27.775,4.582,122.27,27,40
"274","H8003","D","14","C","G","P","A",13.62,27.775,4.582,122.27,21,29
"275","H8003","D","14","C","G","S","C",13.62,27.775,4.582,122.27,7,1
"276","H8003","D","14","P","0","D","A",13.62,15.388,4.582,76.676,7,14
"277","H8003","D","14","P","0","H","A",13.62,15.388,4.582,76.676,6,31
"278","H8003","D","14","P","0","H","A",13.62,15.388,4.582,76.676,15,29
"279","H8003","D","14","P","0","H","B",13.62,15.388,4.582,76.676,3,2
"280","H8003","D","14","P","0","H","C",13.62,15.388,4.582,76.676,5,2
"281","H8003","D","14","P","0","H","C",13.62,15.388,4.582,76.676,7,15
"282","H8003","D","14","P","1","H","C",12.7,3.574,3.213,21.768,8,15
"283","H8003","D","14","P","2","H","C",10.9,3.4,1.527,13.429,8,15
"284","H8003","D","14","S","0","D","A",13.62,12.387,4.438,45.594,7,14
"285","H8003","D","14","S","0","H","B",13.62,12.387,4.438,45.594,3,2
"286","H8003","D","14","S","0","H","C",13.62,12.387,4.438,45.594,5,2
"287","H8003","D","14","S","0","H","C",13.62,12.387,4.438,45.594,7,15
"288","H8003","D","14","S","1","H","C",10.9,3.4,1.527,13.429,8,15
"289","H8003","D","15","C","G","D","A",15,27.775,4.438,98.661,9,6
"290","H8003","D","15","C","G","H","D",15,27.775,4.438,98.661,4,5
"291","H8003","D","15","C","G","H","E",15,27.775,4.438,98.661,27,40
"292","H8003","D","15","C","G","P","A",15,27.775,4.438,98.661,27,27
"293","H8003","D","15","C","G","S","C",15,27.775,4.438,98.661,8,10
"294","H8003","D","15","P","0","D","A",15,15.388,4.438,49.926,5,6
"295","H8003","D","15","P","0","H","A",15,15.388,4.438,49.926,12,11
"296","H8003","D","15","P","0","H","A",15,15.388,4.438,49.926,15,29
"297","H8003","D","15","P","0","H","B",15,15.388,4.438,49.926,4,1
"298","H8003","D","15","P","0","H","C",15,15.388,4.438,49.926,3,5
"299","H8003","D","15","P","0","H","C",15,15.388,4.438,49.926,5,15
"300","H8003","D","15","P","1","H","C",15.9,3.574,3.4,25.992,7,15
"301","H8003","D","15","P","2","H","C",10.9,3.4,1.527,13.429,7,15
"302","H8003","D","15","S","0","D","A",15,12.387,4.66,48.735,5,6
"303","H8003","D","15","S","0","H","B",15,12.387,4.66,48.735,4,1
"304","H8003","D","15","S","0","H","C",15,12.387,4.66,48.735,3,5
"305","H8003","D","15","S","0","H","C",15,12.387,4.66,48.735,5,15
"306","H8003","D","15","S","1","H","C",10.9,3.4,1.527,13.429,7,15
"307","H8003","D","16","C","G","D","A",13.62,27.775,4.471,104.617,9,27
"308","H8003","D","16","C","G","H","D",13.62,27.775,4.471,104.617,15,31
"309","H8003","D","16","C","G","H","E",13.62,27.775,4.471,104.617,23,34
"310","H8003","D","16","C","G","P","A",13.62,27.775,4.471,104.617,15,15
"311","H8003","D","16","C","G","S","C",13.62,27.775,4.471,104.617,8,1
"312","H8003","D","16","P","0","D","A",13.62,15.388,4.471,58.915,7,27
"313","H8003","D","16","P","0","H","A",13.62,15.388,4.471,58.915,11,11
"314","H8003","D","16","P","0","H","A",13.62,15.388,4.471,58.915,15,29
"315","H8003","D","16","P","0","H","B",13.62,15.388,4.471,58.915,4,2
"316","H8003","D","16","P","0","H","C",13.62,15.388,4.471,58.915,3,7
"317","H8003","D","16","P","0","H","C",13.62,15.388,4.471,58.915,22,45
"318","H8003","D","16","P","1","H","C",13.62,3.574,1.422,17.545,22,46
"319","H8003","D","16","S","0","D","A",13.62,12.387,1.017,31.84,7,27
"320","H8003","D","16","S","0","H","B",13.62,12.387,1.017,31.84,4,2
"321","H8003","D","16","S","0","H","C",13.62,12.387,1.017,31.84,3,7
"322","H8003","D","16","S","0","H","C",13.62,12.387,1.017,31.84,22,45
"323","H8003","D","17","C","G","D","A",15.12,29.3,4.582,129.96,11,27
"324","H8003","D","17","C","G","H","D",15.12,29.3,4.582,129.96,9,7
"325","H8003","D","17","C","G","H","E",15.12,29.3,4.582,129.96,25,38
"326","H8003","D","17","C","G","P","A",15.12,29.3,4.582,129.96,14,19
"327","H8003","D","17","C","G","S","C",15.12,29.3,4.582,129.96,8,1
"328","H8003","D","17","P","0","D","A",15.12,15.4,4.582,82.416,7,27
"329","H8003","D","17","P","0","H","A",15.12,15.4,4.582,82.416,16,14
"330","H8003","D","17","P","0","H","A",15.12,15.4,4.582,82.416,15,29
"331","H8003","D","17","P","0","H","B",15.12,15.4,4.582,82.416,7,2
"332","H8003","D","17","P","0","H","C",15.12,15.4,4.582,82.416,3,4
"333","H8003","D","17","P","0","H","C",15.12,15.4,4.582,82.416,11,15
"334","H8003","D","17","P","1","H","C",15.12,3.574,3.213,24.476,8,15
"335","H8003","D","17","P","2","H","C",10.9,3.4,1.527,13.429,8,15
"336","H8003","D","17","S","0","D","A",15.12,12.4,4.438,47.544,7,27
"337","H8003","D","17","S","0","H","B",15.12,12.4,4.438,47.544,7,2
"338","H8003","D","17","S","0","H","C",15.12,12.4,4.438,47.544,3,4
"339","H8003","D","17","S","0","H","C",15.12,12.4,4.438,47.544,11,15
"340","H8003","D","17","S","1","H","C",10.9,3.4,1.527,13.429,8,15
"341","H8003","D","18","C","G","D","A",14.987,26.632,4.582,118.155,12,27
"342","H8003","D","18","C","G","H","D",14.987,26.632,4.582,118.155,9,4
"343","H8003","D","18","C","G","H","E",14.987,26.632,4.582,118.155,27,31
"344","H8003","D","18","C","G","P","A",14.987,26.632,4.582,118.155,24,24
"345","H8003","D","18","C","G","S","C",14.987,26.632,4.582,118.155,8,1
"346","H8003","D","18","P","0","D","A",14.987,14.816,4.582,76.135,7,27
"347","H8003","D","18","P","0","H","A",14.987,14.816,4.582,76.135,15,33
"348","H8003","D","18","P","0","H","A",14.987,14.816,4.582,76.135,15,29
"349","H8003","D","18","P","0","H","B",14.987,14.816,4.582,76.135,3,3
"350","H8003","D","18","P","0","H","C",14.987,14.816,4.582,76.135,3,5
"351","H8003","D","18","P","0","H","C",14.987,14.816,4.582,76.135,11,11
"352","H8003","D","18","P","1","H","C",14.905,3.574,3.213,23.826,8,11
"353","H8003","D","18","P","2","H","C",9.5,3.4,1.527,11.588,8,11
"354","H8003","D","18","S","0","D","A",14.986,11.816,4.44,42.02,7,27
"355","H8003","D","18","S","0","H","B",14.986,11.816,4.44,42.02,3,3
"356","H8003","D","18","S","0","H","C",14.986,11.816,4.44,42.02,3,5
"357","H8003","D","18","S","0","H","C",14.986,11.816,4.44,42.02,11,11
"358","H8003","D","18","S","1","H","C",10.9,3.4,1.527,13.429,8,11
"359","H8003","D","19","C","G","D","A",14.765,21.328,4.522,63.572,11,27
"360","H8003","D","19","C","G","H","D",14.765,21.328,4.522,63.572,9,5
"361","H8003","D","19","C","G","H","E",14.765,21.328,4.522,63.572,23,37
"362","H8003","D","19","C","G","P","A",14.765,21.328,4.522,63.572,11,11
"363","H8003","D","19","C","G","S","C",14.765,21.328,4.522,63.572,8,1
"364","H8003","D","19","P","0","D","A",14.765,12.164,4.522,45.919,7,27
"365","H8003","D","19","P","0","H","A",14.765,12.164,4.522,45.919,16,33
"366","H8003","D","19","P","0","H","A",14.765,12.164,4.522,45.919,15,1
"367","H8003","D","19","P","0","H","B",14.765,12.164,4.522,45.919,7,3
"368","H8003","D","19","P","0","H","C",14.765,12.164,4.522,45.919,3,4
"369","H8003","D","19","P","0","H","C",14.765,12.164,4.522,45.919,10,12
