"","Emergency","ApplyLeadTime","STG","Service","DIA","Length","Pass","Sch","Material","Weight","MemberCount","JointCount","Making_Co","MakingLT"
"12667","1","정상","50","FA",1.5,1465,"","T-3.81","CN",6455,5,4,"부흥",24
"12668","1","정상","30","FA",6,75,"A","T-6.35","CN",13164,2,1,"부흥",24
"12669","1","정상","30","FA",8,4797,"A","T-6.35","CN",21044,7,6,"부흥",44
"12670","1","정상","50","FA",8,3689,"A","T-6.35","CN",6161,4,3,"부흥",32
"12671","1","정상","50","FA",2,1115,"A","T-3.96","CN",19467,7,9,"부흥",23
"12672","1","정상","30","FA",2,2087,"A","T-3.96","CN",19515,7,9,"부흥",34
"12673","1","정상","30","FA",6,4890,"B","T-6.35","CN",19170,5,4,"부흥",17
"12674","1","정상","30","FA",6,1874,"B","T-6.35","CN",21895,4,3,"부흥",44
"12675","1","정상","30","FA",3,4638,"B","T-5.56","CN",19991,2,1,"부흥",17
"12676","1","정상","50","FA",3,957,"B","T-5.56","CN",15869,7,6,"부흥",32
"12677","1","정상","50","FA",1.5,1804,"A","T-3.81","CN",5785,3,2,"부흥",18
"12678","1","정상","40","FA",1.5,443,"A","T-3.81","CN",2112,5,4,"부흥",24
"12679","1","정상","50","FA",3,2805,"A","T-5.56","CN",20180,6,5,"부흥",32
"12680","1","정상","3B","FW",6,4638,"","T-6.35","CN",10317,4,3,"부흥",49
"12681","1","정상","3B","FW",6,1767,"","T-6.35","CN",1787,4,3,"부흥",31
"12682","1","정상","3B","FW",6,4638,"","T-6.35","CN",11986,6,5,"부흥",31
"12683","1","정상","3B","FW",6,5075,"","T-6.35","CN",21798,6,5,"부흥",31
"12684","1","정상","3B","FW",6,362,"","T-6.35","CN",18408,5,4,"부흥",31
"12685","1","정상","3B","FW",4,1,"","T-6.35","CN",3141,2,1,"부흥",31
"12686","1","정상","50","FW",6,2546,"","T-6.35","CN",2496,3,2,"부흥",28
"12687","1","정상","50","FW",6,1805,"","T-6.35","CN",1805,3,2,"부흥",28
"12688","1","정상","3B","FW",6,253,"","T-6.35","CN",17777,3,2,"부흥",31
"12689","1","정상","3B","FW",6,4638,"","T-6.35","CN",9669,2,1,"부흥",31
"12690","1","정상","3B","FW",6,4638,"","T-6.35","CN",10043,5,4,"부흥",31
"12691","1","정상","3B","FW",6,938,"","T-6.35","CN",20175,3,2,"부흥",31
"12692","1","정상","3B","FW",6,4638,"","T-6.35","CN",6678,3,2,"부흥",31
