"","block_group","block_location","ship_type","weight","business","workday_plan","workday_record"
"13282","F","S","BC51",9,"2YARD",7,14
"13283","F","P","BC51",33,"2YARD",7,5
"13284","F","S","BC51",22,"2YARD",7,5
"13286","F","S","BC51",5,"exception",3,20
"13288","F","S","BC51",20,"exception",3,20
"13289","F","C","BC51",3,"2YARD",5,8
"13290","F","P","BC51",2,"2YARD",5,8
"13291","F","S","BC51",2,"2YARD",5,8
"13292","F","P","BC51",3,"2YARD",5,8
"13293","F","S","BC51",3,"2YARD",5,8
"13294","H","P","BC51",57,"2YARD",9,13
"13295","H","S","BC51",57,"2YARD",9,8
"13296","H","P","BC51",95,"2YARD",9,8
"13297","H","S","BC51",95,"2YARD",9,8
"13298","H","P","BC51",68,"2YARD",5,13
"13299","H","S","BC51",68,"2YARD",5,4
"13300","H","P","BC51",86,"2YARD",5,4
"13301","H","S","BC51",86,"2YARD",5,4
"13302","H","P","BC51",65,"2YARD",7,9
"13303","H","S","BC51",65,"2YARD",7,1
"13304","H","P","BC51",96,"2YARD",7,1
"13305","H","S","BC51",96,"2YARD",7,1
"13306","H","P","BC51",59,"2YARD",7,2
"13307","H","S","BC51",59,"2YARD",7,13
"13308","H","P","BC51",71,"2YARD",7,4
"13309","H","S","BC51",71,"2YARD",7,4
"13310","M","P","BC51",52,"2YARD",3,2
"13311","M","S","BC51",46,"2YARD",3,7
"13312","M","P","BC51",8,"2YARD",3,4
"13313","M","S","BC51",16,"2YARD",3,4
"13314","M","C","BC51",42,"2YARD",5,3
"13315","M","P","BC51",7,"2YARD",3,2
"13316","M","P","BC51",16,"2YARD",3,2
"13317","M","P","BC51",40,"2YARD",3,3
"13318","M","S","BC51",39,"2YARD",3,15
"13319","M","C","BC51",30,"2YARD",3,4
"13320","M","P","BC51",33,"2YARD",5,1
"13321","M","S","BC51",30,"2YARD",5,4
"13322","M","C","BC51",50,"2YARD",5,2
"13323","M","P","BC51",22,"2YARD",7,16
"13324","M","S","BC51",22,"2YARD",7,16
"13325","M","P","BC51",23,"2YARD",3,5
"13326","M","S","BC51",22,"2YARD",3,16
"13327","M","P","BC51",25,"2YARD",3,1
"13328","M","S","BC51",21,"2YARD",3,7
"13329","M","P","BC51",10,"2YARD",3,2
"13330","M","S","BC51",10,"2YARD",3,6
"13331","M","C","BC51",25,"2YARD",5,2
"13332","R","P","BC51",36,"CargotecFinlandOy",6,3
"13333","R","S","BC51",36,"CargotecFinlandOy",6,3
"13334","R","P","BC51",41,"CargotecFinlandOy",4,3
"13335","R","S","BC51",41,"CargotecFinlandOy",4,3
"13336","R","P","BC51",33,"CargotecFinlandOy",6,3
"13337","R","S","BC51",33,"CargotecFinlandOy",6,3
"13338","R","P","BC51",33,"CargotecFinlandOy",6,3
"13339","R","S","BC51",33,"CargotecFinlandOy",6,3
"13340","R","P","BC51",33,"CargotecFinlandOy",4,3
"13341","R","S","BC51",33,"CargotecFinlandOy",4,3
"13342","R","P","BC51",41,"CargotecFinlandOy",6,2
"13343","R","S","BC51",41,"CargotecFinlandOy",6,2
"13344","R","P","BC51",33,"CargotecFinlandOy",4,2
"13345","R","S","BC51",33,"CargotecFinlandOy",4,2
"13346","R","P","BC51",33,"CargotecFinlandOy",4,2
"13347","R","S","BC51",33,"CargotecFinlandOy",4,2
"13348","R","P","BC51",28,"CargotecFinlandOy",6,3
"13349","R","S","BC51",28,"CargotecFinlandOy",6,3
"13350","S","P","BC51",69,"2YARD",7,16
"13351","S","S","BC51",69,"2YARD",7,2
"13352","S","P","BC51",118,"2YARD",7,2
"13353","S","S","BC51",118,"2YARD",7,8
"13354","S","P","BC51",87,"2YARD",5,3
"13355","S","S","BC51",87,"2YARD",5,8
"13356","S","P","BC51",108,"2YARD",5,9
"13357","S","S","BC51",108,"2YARD",5,3
"13358","S","P","BC51",36,"2YARD",5,11
"13359","S","S","BC51",36,"2YARD",5,18
"13360","S","P","BC51",117,"2YARD",7,6
"13361","S","S","BC51",117,"2YARD",7,6
"13362","S","P","BC51",100,"2YARD",7,6
"13363","S","S","BC51",100,"2YARD",7,6
"13364","S","P","BC51",41,"2YARD",7,6
"13365","S","S","BC51",41,"2YARD",7,6
"13366","S","P","BC51",22,"2YARD",7,12
"13367","S","S","BC51",22,"2YARD",7,12
"13368","S","P","BC51",103,"2YARD",5,4
"13369","S","S","BC51",103,"2YARD",5,4
"13370","S","P","BC51",90,"2YARD",5,5
"13371","S","S","BC51",90,"2YARD",5,5
"13372","S","P","BC51",17,"2YARD",5,5
"13373","S","S","BC51",17,"2YARD",5,14
"13374","S","P","BC51",115,"2YARD",7,1
"13375","S","S","BC51",115,"2YARD",7,1
"13376","S","P","BC51",100,"2YARD",7,3
"13377","S","S","BC51",100,"2YARD",7,3
"13378","S","P","BC51",42,"2YARD",7,8
"13379","S","S","BC51",42,"2YARD",7,8
"13380","S","P","BC51",19,"2YARD",7,19
"13381","S","S","BC51",19,"2YARD",7,19
"13382","S","P","BC51",112,"2YARD",7,5
"13383","S","S","BC51",112,"2YARD",7,5
"13384","S","P","BC51",97,"2YARD",7,5
"13385","S","S","BC51",97,"2YARD",7,6
"13386","S","P","BC51",38,"2YARD",7,10
"13387","S","S","BC51",38,"2YARD",7,10
"13388","S","P","BC51",19,"2YARD",7,13
"13389","S","S","BC51",19,"2YARD",7,16
"13390","S","P","BC51",120,"2YARD",7,2
"13391","S","S","BC51",120,"2YARD",7,2
"13392","S","P","BC51",101,"2YARD",7,4
"13393","S","S","BC51",101,"2YARD",7,11
"13394","S","P","BC51",36,"2YARD",7,4
"13395","S","S","BC51",36,"2YARD",7,6
"13396","S","P","BC51",19,"2YARD",7,13
"13397","S","S","BC51",19,"2YARD",7,17
"13398","S","P","BC51",111,"2YARD",7,1
"13399","S","S","BC51",111,"2YARD",7,1
"13400","S","P","BC51",93,"2YARD",7,1
"13401","S","S","BC51",93,"2YARD",7,2
"13402","S","P","BC51",18,"2YARD",7,9
"13403","S","S","BC51",18,"2YARD",7,10
"13404","S","P","BC51",70,"2YARD",7,1
"13405","S","S","BC51",70,"2YARD",7,3
"13406","S","P","BC51",122,"2YARD",7,2
"13407","S","S","BC51",122,"2YARD",7,2
"13408","S","P","BC51",38,"2YARD",7,2
"13409","S","S","BC51",38,"2YARD",7,3
"13410","S","P","BC51",10,"2YARD",7,11
"13411","S","S","BC51",10,"2YARD",7,11
"13412","T","P","BC51",39,"2YARD",7,2
"13413","T","S","BC51",40,"2YARD",7,2
"13414","T","P","BC51",37,"2YARD",7,6
"13415","T","S","BC51",38,"2YARD",7,4
"13416","T","P","BC51",47,"2YARD",5,3
"13417","T","S","BC51",48,"2YARD",5,3
"13418","T","P","BC51",47,"2YARD",5,8
"13419","T","S","BC51",48,"2YARD",5,5
"13420","T","P","BC51",56,"2YARD",5,2
"13421","T","S","BC51",56,"2YARD",5,2
"13422","T","P","BC51",48,"2YARD",5,7
"13423","T","S","BC51",51,"2YARD",5,4
"13424","T","P","BC51",56,"2YARD",7,2
"13425","T","S","BC51",61,"2YARD",7,2
"13426","T","P","BC51",48,"2YARD",7,8
"13427","T","S","BC51",49,"2YARD",7,2
"13428","T","P","BC51",50,"2YARD",7,3
"13429","T","S","BC51",50,"2YARD",7,3
"13430","T","P","BC51",44,"2YARD",7,6
"13431","T","S","BC51",47,"2YARD",7,4
"13432","T","P","BC51",50,"2YARD",9,5
"13433","T","S","BC51",50,"2YARD",9,5
"13434","T","P","BC51",44,"2YARD",9,5
"13435","T","S","BC51",47,"2YARD",9,5
"13436","T","P","BC51",50,"2YARD",9,8
"13437","T","S","BC51",50,"2YARD",9,8
"13438","T","P","BC51",44,"2YARD",9,8
"13439","T","S","BC51",46,"2YARD",9,8
"13440","T","P","BC51",52,"2YARD",9,2
"13441","T","S","BC51",52,"2YARD",9,2
"13442","T","P","BC51",45,"2YARD",9,9
"13443","T","S","BC51",51,"2YARD",9,2
"13444","W","P","BC51",1,"2YARD",4,14
"13445","W","S","BC51",1,"2YARD",4,14
"13446","W","P","BC51",1,"2YARD",4,14
"13447","W","S","BC51",1,"2YARD",4,14
"13448","W","P","BC51",1,"2YARD",2,14
"13449","W","S","BC51",1,"2YARD",2,14
"13450","W","P","BC51",1,"2YARD",2,14
"13451","W","S","BC51",1,"2YARD",2,14
"13452","W","P","BC51",1,"2YARD",4,9
"13453","W","S","BC51",1,"2YARD",4,9
"13454","W","P","BC51",1,"2YARD",4,9
"13455","W","S","BC51",1,"2YARD",4,9
"13456","W","P","BC51",1,"2YARD",2,10
"13457","W","S","BC51",1,"2YARD",2,10
"13458","W","P","BC51",1,"2YARD",2,10
"13459","W","S","BC51",1,"2YARD",2,10
"13460","W","P","BC51",1,"2YARD",2,13
"13461","W","S","BC51",1,"2YARD",2,13
"13462","W","P","BC51",1,"2YARD",2,13
"13463","W","S","BC51",1,"2YARD",2,13
"13464","W","P","BC51",1,"2YARD",5,16
"13465","W","S","BC51",1,"2YARD",5,16
"13466","W","P","BC51",1,"2YARD",5,16
"13467","W","S","BC51",1,"2YARD",5,16
"13468","W","P","BC51",1,"2YARD",3,10
"13469","W","S","BC51",1,"2YARD",3,10
"13470","W","P","BC51",1,"2YARD",3,10
"13471","W","S","BC51",1,"2YARD",3,10
"13472","W","P","BC51",1,"2YARD",5,11
"13473","W","S","BC51",1,"2YARD",5,11
"13474","W","P","BC51",1,"2YARD",5,11
"13475","W","S","BC51",1,"2YARD",5,11
"13476","W","P","BC51",1,"2YARD",3,11
"13477","W","S","BC51",1,"2YARD",3,11
"13478","W","P","BC51",1,"2YARD",3,11
"13479","W","S","BC51",1,"2YARD",3,11
"13480","A","C","BC51",20,"CorpSDsacheon",7,12
"13481","A","C","BC51",30,"CorpSDsacheon",7,12
"13482","A","C","BC51",14,"CorpSDsacheon",7,12
"13483","A","P","BC51",50,"CorpSDsacheon",7,21
"13484","A","S","BC51",50,"CorpSDsacheon",7,21
"13485","A","C","BC51",50,"CorpSDsacheon",7,21
"13486","A","P","BC51",50,"CorpSDsacheon",7,21
"13487","A","S","BC51",50,"CorpSDsacheon",7,21
"13488","A","C","BC51",61,"CorpSDsacheon",7,21
"13489","A","P","BC51",28,"CorpSDsacheon",7,36
"13490","A","S","BC51",51,"CorpSDsacheon",7,36
"13491","A","P","BC51",23,"CorpSDsacheon",7,36
"13492","A","S","BC51",45,"CorpSDsacheon",7,36
"13493","A","P","BC51",21,"CorpSDsacheon",7,36
"13494","A","S","BC51",41,"CorpSDsacheon",7,36
"13495","A","P","BC51",73,"CorpSDmasan",7,33
"13496","A","S","BC51",61,"CorpSDmasan",7,33
"13497","A","P","BC51",25,"CorpSDmasan",7,33
"13498","A","S","BC51",30,"CorpSDmasan",7,33
"13499","A","P","BC51",15,"CorpSDmasan",7,33
"13500","A","S","BC51",15,"CorpSDmasan",7,33
"13501","A","C","BC51",91,"exception",7,7
"13502","B","P","BC51",62,"1YARD",5,8
"13503","B","S","BC51",24,"1YARD",5,8
"13504","B","P","BC51",60,"1YARD",5,8
"13505","B","S","BC51",30,"1YARD",5,12
"13506","B","P","BC51",62,"2YARD",5,7
"13507","B","S","BC51",32,"2YARD",5,10
"13508","B","P","BC51",110,"2YARD",5,7
"13509","B","S","BC51",70,"2YARD",5,16
"13510","B","P","BC51",54,"2YARD",5,15
"13511","B","S","BC51",35,"2YARD",5,15
"13512","B","P","BC51",150,"2YARD",5,5
"13513","B","S","BC51",100,"2YARD",5,9
"13514","B","P","BC51",66,"2YARD",5,10
"13515","B","S","BC51",45,"2YARD",5,10
"13516","B","P","BC51",157,"2YARD",5,4
"13517","B","S","BC51",105,"2YARD",5,14
"13518","B","P","BC51",80,"2YARD",5,8
"13519","B","S","BC51",43,"2YARD",5,9
"13520","B","P","BC51",190,"2YARD",5,2
"13521","B","S","BC51",140,"2YARD",5,12
"13522","B","P","BC51",57,"2YARD",5,9
"13523","B","S","BC51",40,"2YARD",5,9
"13524","B","P","BC51",180,"2YARD",5,4
"13525","B","S","BC51",120,"2YARD",5,13
"13526","B","P","BC51",78,"2YARD",5,12
"13527","B","S","BC51",48,"2YARD",5,12
"13528","B","P","BC51",200,"2YARD",5,5
"13529","B","S","BC51",140,"2YARD",5,12
"13530","B","P","BC51",66,"2YARD",5,15
"13531","B","S","BC51",38,"2YARD",5,9
"13532","B","P","BC51",200,"2YARD",5,15
"13533","B","S","BC51",140,"2YARD",5,8
"13534","B","P","BC51",64,"2YARD",5,10
"13535","B","S","BC51",38,"2YARD",5,11
"13536","B","P","BC51",200,"2YARD",5,11
"13537","B","S","BC51",140,"2YARD",5,5
"13538","B","P","BC51",57,"2YARD",5,3
"13539","B","S","BC51",31,"2YARD",5,9
"13540","B","P","BC51",205,"2YARD",5,9
"13541","B","S","BC51",145,"2YARD",5,2
"13542","B","P","BC51",200,"2YARD",5,6
"13543","B","S","BC51",58,"2YARD",5,12
"13544","B","P","BC51",50,"2YARD",5,13
"13545","B","S","BC51",112,"2YARD",5,12
"13546","B","P","BC51",64,"2YARD",5,9
"13547","B","S","BC51",52,"2YARD",5,9
"13548","B","P","BC51",170,"2YARD",5,4
"13549","B","S","BC51",100,"2YARD",5,8
"13550","B","P","BC51",56,"2YARD",5,6
"13551","B","S","BC51",60,"2YARD",5,9
"13552","C","P","BC51",5,"CorpSDmasan",4,5
"13553","C","S","BC51",5,"CorpSDmasan",4,5
"13554","C","P","BC51",6,"CorpSDmasan",4,5
"13555","C","S","BC51",6,"CorpSDmasan",4,5
"13556","C","P","BC51",6,"CorpSDmasan",4,6
"13557","C","S","BC51",6,"CorpSDmasan",4,6
"13558","C","P","BC51",6,"CorpSDmasan",4,7
"13559","C","S","BC51",6,"CorpSDmasan",4,7
"13560","C","P","BC51",6,"CorpSDmasan",4,16
"13561","C","S","BC51",6,"CorpSDmasan",4,16
"13562","C","P","BC51",6,"CorpSDmasan",4,7
"13563","C","S","BC51",6,"CorpSDmasan",4,7
"13564","C","P","BC51",6,"CorpSDmasan",4,11
"13565","C","S","BC51",6,"CorpSDmasan",4,11
"13566","C","P","BC51",6,"CorpSDmasan",4,20
"13567","C","S","BC51",6,"CorpSDmasan",4,20
"13568","C","P","BC51",5,"CorpSDmasan",4,17
"13569","C","S","BC51",5,"CorpSDmasan",4,17
"13570","C","C","BC51",6,"CorpSDmasan",4,5
"13571","C","C","BC51",6,"CorpSDmasan",4,5
"13572","C","C","BC51",6,"CorpSDmasan",4,5
"13573","C","C","BC51",6,"CorpSDmasan",4,5
"13574","C","C","BC51",6,"CorpSDmasan",4,6
"13575","C","C","BC51",6,"CorpSDmasan",4,6
"13576","C","C","BC51",6,"CorpSDmasan",4,7
"13577","C","C","BC51",6,"CorpSDmasan",4,7
"13578","C","C","BC51",6,"CorpSDmasan",4,16
"13579","C","C","BC51",6,"CorpSDmasan",4,16
"13580","C","C","BC51",6,"CorpSDmasan",4,7
"13581","C","C","BC51",6,"CorpSDmasan",4,7
"13582","C","C","BC51",6,"CorpSDmasan",4,11
"13583","C","C","BC51",6,"CorpSDmasan",4,11
"13584","C","C","BC51",6,"CorpSDmasan",4,20
"13585","C","C","BC51",6,"CorpSDmasan",4,20
"13586","C","C","BC51",6,"CorpSDmasan",4,17
"13587","C","C","BC51",6,"CorpSDmasan",4,17
"13588","D","C","BC51",70,"DHMC",5,22
"13589","D","C","BC51",74,"DHMC",5,22
"13590","D","C","BC51",82,"DHMC",5,1
"13595","D","C","BC51",62,"CorpSDsacheon",5,14
"13596","D","P","BC51",33,"1YARD",5,11
"13597","D","S","BC51",33,"1YARD",5,11
"13598","D","P","BC51",56,"1YARD",5,11
"13599","D","S","BC51",56,"1YARD",5,11
"13600","D","P","BC51",102,"1YARD",5,20
"13601","D","S","BC51",102,"1YARD",5,20
"13602","D","P","BC51",8,"1YARD",5,20
"13603","D","S","BC51",8,"1YARD",5,20
"13604","D","P","BC51",69,"1YARD",5,16
"13605","D","S","BC51",72,"1YARD",5,16
"13606","D","P","BC51",46,"1YARD",5,16
"13607","D","S","BC51",46,"1YARD",5,16
"13608","D","P","BC51",102,"1YARD",5,16
"13609","D","S","BC51",102,"1YARD",5,16
"13610","D","P","BC51",40,"1YARD",5,15
"13611","D","S","BC51",40,"1YARD",5,15
"13612","D","P","BC51",8,"1YARD",5,15
"13613","D","S","BC51",8,"1YARD",5,15
"13614","D","P","BC51",43,"1YARD",5,8
"13615","D","S","BC51",43,"1YARD",5,8
"13616","D","P","BC51",40,"1YARD",5,8
"13617","D","S","BC51",40,"1YARD",5,8
"13618","D","P","BC51",100,"1YARD",5,8
"13619","D","S","BC51",100,"1YARD",5,15
"13620","D","P","BC51",54,"1YARD",5,2
"13621","D","S","BC51",54,"1YARD",5,2
"13622","D","P","BC51",40,"1YARD",5,2
"13623","D","S","BC51",40,"1YARD",5,2
"13624","D","P","BC51",100,"1YARD",5,2
"13625","D","S","BC51",100,"1YARD",5,8
"13626","D","P","BC51",47,"2YARD",5,4
"13627","D","S","BC51",47,"2YARD",5,4
"13628","D","P","BC51",60,"2YARD",5,6
"13629","D","S","BC51",60,"2YARD",5,3
"13630","D","P","BC51",120,"2YARD",5,4
"13631","D","S","BC51",120,"2YARD",5,4
"13632","D","P","BC51",45,"2YARD",5,3
"13633","D","S","BC51",45,"2YARD",5,5
"13634","D","P","BC51",40,"2YARD",5,3
"13635","D","S","BC51",40,"2YARD",5,3
"13636","D","P","BC51",110,"2YARD",5,3
"13637","D","S","BC51",110,"2YARD",5,2
"13639","D","S","BC51",48,"KIEng",5,27
"13641","D","S","BC51",60,"KIEng",5,27
"13650","D","P","BC51",128,"2YARD",5,11
"13651","D","S","BC51",41,"2YARD",5,18
"13652","D","P","BC51",41,"2YARD",5,15
"13653","D","S","BC51",58,"2YARD",5,15
"13654","D","P","BC51",60,"2YARD",5,18
"13655","D","S","BC51",130,"2YARD",5,18
"13656","D","P","BC51",33,"2YARD",5,10
"13657","D","S","BC51",33,"2YARD",5,10
"13658","D","P","BC51",60,"2YARD",5,14
"13659","D","S","BC51",60,"2YARD",5,17
"13660","D","P","BC51",110,"2YARD",5,18
"13661","D","S","BC51",110,"2YARD",5,10
"13662","D","P","BC51",37,"1YARD",5,2
"13663","D","S","BC51",37,"1YARD",5,8
"13664","D","P","BC51",50,"1YARD",5,2
"13665","D","S","BC51",50,"1YARD",5,6
"13666","D","P","BC51",100,"1YARD",5,2
"13667","D","S","BC51",100,"1YARD",5,5
"13668","D","P","BC51",39,"DSHI",5,9
"13669","D","S","BC51",39,"DSHI",5,9
"13670","D","P","BC51",50,"DSHI",5,9
"13671","D","S","BC51",50,"DSHI",5,9
"13672","D","P","BC51",110,"DSHI",5,9
"13673","D","S","BC51",110,"DSHI",5,9
"13674","D","P","BC51",45,"DSHI",5,9
"13675","D","S","BC51",45,"DSHI",5,9
"13676","D","P","BC51",14,"DSHI",5,22
"13677","D","S","BC51",14,"DSHI",5,22
"13678","D","P","BC51",40,"DSHI",5,22
"13679","D","S","BC51",40,"DSHI",5,22
"13680","D","P","BC51",100,"DSHI",5,22
"13681","D","S","BC51",100,"DSHI",5,22
"13682","D","C","BC51",6,"DSHI",3,11
"13683","E","C","BC51",29,"2YARD",7,19
"13684","E","C","BC51",168,"2YARD",7,7
"13685","E","C","BC51",32,"2YARD",7,16
"13686","E","C","BC51",90,"2YARD",7,6
"13687","E","P","BC51",36,"2YARD",7,10
"13688","E","S","BC51",33,"2YARD",7,12
"13689","E","P","BC51",20,"2YARD",7,2
"13690","E","S","BC51",20,"2YARD",7,4
"13691","E","P","BC51",43,"2YARD",7,8
"13692","E","S","BC51",39,"2YARD",7,8
"13693","E","P","BC51",20,"2YARD",7,8
"13694","E","S","BC51",29,"2YARD",7,18
"13695","E","P","BC51",15,"2YARD",7,13
"13696","E","S","BC51",10,"2YARD",7,18
"13697","E","P","BC51",24,"2YARD",7,7
"13698","E","S","BC51",30,"2YARD",7,5
"13699","E","P","BC51",16,"2YARD",7,7
"13700","E","S","BC51",20,"2YARD",7,7
"13701","E","P","BC51",75,"2YARD",7,16
"13702","E","S","BC51",94,"2YARD",7,16
"13703","E","P","BC51",35,"2YARD",7,5
"13704","E","S","BC51",30,"2YARD",7,4
"13705","E","P","BC51",20,"2YARD",7,4
"13706","E","S","BC51",15,"2YARD",7,4
"13707","E","P","BC51",15,"2YARD",7,11
"13708","E","P","BC51",15,"2YARD",7,16
"13709","E","S","BC51",5,"2YARD",7,16
"13710","E","P","BC51",10,"2YARD",7,11
"13711","E","P","BC51",10,"2YARD",7,4
"13712","E","S","BC51",5,"2YARD",7,16
"13713","E","P","BC51",80,"2YARD",7,3
"13714","E","S","BC51",77,"2YARD",7,3
"13715","E","P","BC51",30,"2YARD",7,6
"13716","E","S","BC51",30,"2YARD",7,6
"13717","E","P","BC51",106,"CorpBS",7,12
"13718","E","S","BC51",103,"CorpBS",7,12
"13719","E","P","BC51",40,"CorpBS",7,12
"13720","E","S","BC51",40,"CorpBS",7,12
"13721","E","P","BC51",20,"CorpBS",7,12
"13722","E","S","BC51",15,"CorpBS",7,12
"13723","E","P","BC51",20,"CorpBS",7,12
"13724","E","S","BC51",10,"CorpBS",7,12
"13725","E","P","BC51",10,"CorpBS",7,12
"13726","E","P","BC51",63,"2YARD",7,4
"13727","E","S","BC51",63,"2YARD",7,4
"13728","E","P","BC51",20,"2YARD",7,17
"13729","E","S","BC51",20,"2YARD",7,17
"13730","E","P","BC51",15,"2YARD",7,17
"13731","E","S","BC51",15,"2YARD",7,17
"13732","E","P","BC51",10,"2YARD",7,17
"13733","E","C","BC51",31,"2YARD",3,2
"13734","F","C","BC51",73,"CorpWDHI",7,23
"13735","F","C","BC51",100,"CorpWDHI",7,23
"13736","F","P","BC51",35,"CorpWDHI",7,16
"13737","F","S","BC51",36,"CorpWDHI",7,16
"13738","F","P","BC51",20,"CorpWDHI",7,16
"13739","F","S","BC51",15,"CorpWDHI",7,16
"13740","F","P","BC51",33,"CorpWDHI",7,16
"13741","F","S","BC51",34,"CorpWDHI",7,16
"13742","F","P","BC51",20,"CorpWDHI",7,16
"13743","F","S","BC51",15,"CorpWDHI",7,16
"13744","F","C","BC51",61,"CorpWDHI",7,22
"13745","F","C","BC51",30,"CorpWDHI",7,22
"13746","F","C","BC51",30,"CorpWDHI",7,22
"13747","F","P","BC51",40,"CorpWDHI",7,22
"13748","F","S","BC51",40,"CorpWDHI",7,22
"13749","F","P","BC51",45,"CorpWDHI",7,22
"13750","F","S","BC51",37,"CorpWDHI",7,22
"13751","F","P","BC51",15,"CorpWDHI",7,22
"13752","F","S","BC51",15,"CorpWDHI",7,22
"13753","F","P","BC51",5,"CorpWDHI",7,22
"13754","F","S","BC51",5,"CorpWDHI",7,22
"13755","F","P","BC51",42,"2YARD",7,3
"13756","F","S","BC51",37,"2YARD",7,3
"13757","F","P","BC51",15,"2YARD",7,4
"13758","F","S","BC51",10,"2YARD",7,3
"13759","F","P","BC51",5,"2YARD",7,4
"13760","F","S","BC51",10,"2YARD",7,3
"13761","F","P","BC51",16,"CorpSDsacheon",7,43
"13762","F","S","BC51",9,"CorpSDsacheon",7,43
"13763","F","P","BC51",35,"CorpSDsacheon",7,43
"13764","F","S","BC51",33,"CorpSDsacheon",7,43
"13765","F","P","BC51",5,"CorpSDsacheon",7,43
"13766","F","S","BC51",5,"CorpSDsacheon",7,43
"13767","F","P","BC51",5,"CorpSDsacheon",7,43
"13768","F","S","BC51",5,"CorpSDsacheon",7,43
"13769","F","P","BC51",50,"CorpSDsacheon",7,43
"13770","F","S","BC51",45,"CorpSDsacheon",7,43
"13771","F","P","BC51",27,"CorpSDmasan",7,17
"13772","F","S","BC51",76,"CorpSDmasan",7,17
"13773","F","P","BC51",33,"CorpSDmasan",7,17
"13774","F","S","BC51",25,"CorpSDmasan",7,17
"13775","F","P","BC51",5,"CorpSDmasan",7,17
"13776","F","S","BC51",5,"CorpSDmasan",7,17
"13777","F","P","BC51",5,"CorpSDmasan",7,17
"13778","F","S","BC51",5,"CorpSDmasan",7,17
"13779","F","P","BC51",5,"CorpSDmasan",7,17
"13780","F","S","BC51",5,"CorpSDmasan",7,17
"13781","F","P","BC51",45,"CorpSDmasan",7,17
"13782","F","S","BC51",50,"CorpSDmasan",7,17
"13787","H","P","BC51",41,"CorpSDsacheon",7,39
"13788","H","S","BC51",41,"CorpSDsacheon",7,39
"13789","H","P","BC51",80,"CorpSDsacheon",7,39
"13790","H","S","BC51",80,"CorpSDsacheon",7,39
"13791","H","P","BC51",30,"CorpSDsacheon",7,39
"13792","H","S","BC51",30,"CorpSDsacheon",7,39
"13793","H","P","BC51",54,"CorpSDmasan",7,26
"13794","H","S","BC51",54,"CorpSDmasan",7,26
"13795","H","P","BC51",80,"CorpSDmasan",7,26
"13796","H","S","BC51",80,"CorpSDmasan",7,26
"13797","H","P","BC51",20,"CorpSDmasan",7,26
"13798","H","S","BC51",20,"CorpSDmasan",7,26
"13807","H","P","BC51",17,"CorpWDHI",7,27
"13808","H","S","BC51",17,"CorpWDHI",7,27
"13809","H","P","BC51",40,"CorpWDHI",7,27
"13810","H","S","BC51",40,"CorpWDHI",7,27
"13811","H","P","BC51",40,"CorpWDHI",7,27
"13812","H","S","BC51",40,"CorpWDHI",7,27
"13813","H","P","BC51",36,"CorpWDHI",7,27
"13814","H","S","BC51",36,"CorpWDHI",7,27
"13815","M","C","BC51",100,"CorpSDmasan",6,18
"13816","M","P","BC51",10,"CorpSDmasan",6,3
"13817","M","S","BC51",10,"CorpSDmasan",6,3
"13818","M","C","BC51",36,"CorpSDmasan",6,2
"13819","M","P","BC51",23,"CorpSDmasan",6,4
"13820","M","C","BC51",77,"CorpSDmasan",6,5
"13821","M","C","BC51",27,"CorpSDmasan",6,2
"13822","M","C","BC51",63,"CorpSDmasan",6,5
"13823","M","C","BC51",33,"CorpSDmasan",6,11
"13824","M","C","BC51",52,"CorpSDmasan",6,5
"13825","M","C","BC51",48,"CorpSDmasan",6,10
"13826","M","C","BC51",48,"CorpSDmasan",6,1
"13827","M","P","BC51",10,"CorpSDmasan",6,3
"13828","M","S","BC51",10,"CorpSDmasan",6,3
"13829","M","C","BC51",28,"CorpSDmasan",6,23
"13830","R","P","BC51",36,"MACGREGORKAYABA",5,4
"13831","R","S","BC51",36,"MACGREGORKAYABA",5,4
"13832","R","P","BC51",41,"MACGREGORKAYABA",5,4
"13833","R","S","BC51",41,"MACGREGORKAYABA",5,4
"13834","R","P","BC51",33,"MACGREGORKAYABA",5,4
"13835","R","S","BC51",33,"MACGREGORKAYABA",5,4
"13836","R","P","BC51",33,"MACGREGORKAYABA",5,4
"13837","R","S","BC51",33,"MACGREGORKAYABA",5,4
"13838","R","P","BC51",33,"MACGREGORKAYABA",5,4
"13839","R","S","BC51",33,"MACGREGORKAYABA",5,4
"13840","R","P","BC51",41,"MACGREGORKAYABA",5,4
"13841","R","S","BC51",41,"MACGREGORKAYABA",5,4
"13842","R","P","BC51",33,"MACGREGORKAYABA",5,4
"13843","R","S","BC51",33,"MACGREGORKAYABA",5,4
"13844","R","P","BC51",33,"MACGREGORKAYABA",5,4
"13845","R","S","BC51",33,"MACGREGORKAYABA",5,4
"13846","R","P","BC51",28,"MACGREGORKAYABA",5,4
"13847","R","S","BC51",28,"MACGREGORKAYABA",5,4
"13848","S","P","BC51",70,"2YARD",5,7
"13849","S","S","BC51",70,"2YARD",5,9
"13850","S","P","BC51",110,"2YARD",5,9
"13851","S","S","BC51",110,"2YARD",5,7
"13852","S","P","BC51",89,"2YARD",5,5
"13853","S","S","BC51",89,"2YARD",5,5
"13854","S","P","BC51",100,"2YARD",5,5
"13855","S","S","BC51",100,"2YARD",5,5
"13856","S","P","BC51",33,"2YARD",5,5
"13857","S","S","BC51",33,"2YARD",5,7
"13858","S","P","BC51",90,"2YARD",5,3
