"","block_group","block_location","ship_type","weight","business","workday_plan","workday_record"
"148","H","P","BC4",22,"1YARD",8,34
"149","H","S","BC4",22,"1YARD",8,34
"150","R","P","BC4",36,"MACGREGORKAYABA",5,3
"151","R","S","BC4",36,"MACGREGORKAYABA",5,3
"152","R","P","BC4",42,"MACGREGORKAYABA",5,3
"153","R","S","BC4",42,"MACGREGORKAYABA",5,3
"154","R","P","BC4",33,"MACGREGORKAYABA",5,3
"155","R","S","BC4",33,"MACGREGORKAYABA",5,3
"156","R","P","BC4",33,"MACGREGORKAYABA",5,3
"157","R","S","BC4",33,"MACGREGORKAYABA",5,3
"158","R","P","BC4",33,"MACGREGORKAYABA",5,3
"159","R","S","BC4",33,"MACGREGORKAYABA",5,3
"160","R","P","BC4",41,"MACGREGORKAYABA",5,3
"161","R","S","BC4",41,"MACGREGORKAYABA",5,3
"162","R","P","BC4",33,"MACGREGORKAYABA",5,3
"163","R","S","BC4",33,"MACGREGORKAYABA",5,3
"164","R","P","BC4",33,"MACGREGORKAYABA",5,3
"165","R","S","BC4",33,"MACGREGORKAYABA",5,3
"166","R","P","BC4",28,"MACGREGORKAYABA",5,3
"167","R","S","BC4",28,"MACGREGORKAYABA",5,3
"168","W","P","BC4",1,"CorpSDmasan",3,7
"169","W","S","BC4",1,"CorpSDmasan",3,7
"170","W","P","BC4",1,"CorpSDmasan",3,7
"171","W","S","BC4",1,"CorpSDmasan",3,7
"172","W","P","BC4",1,"CorpSDmasan",3,6
"173","W","S","BC4",1,"CorpSDmasan",3,6
"174","W","P","BC4",1,"CorpSDmasan",3,6
"175","W","S","BC4",1,"CorpSDmasan",3,6
"176","W","P","BC4",1,"CorpSDmasan",3,14
"177","W","S","BC4",1,"CorpSDmasan",3,14
"178","W","P","BC4",1,"CorpSDmasan",3,14
"179","W","S","BC4",1,"CorpSDmasan",3,14
"180","W","P","BC4",1,"CorpSDmasan",3,5
"181","W","S","BC4",1,"CorpSDmasan",3,5
"182","W","P","BC4",1,"CorpSDmasan",3,5
"183","W","S","BC4",1,"CorpSDmasan",3,5
"184","W","P","BC4",1,"CorpSDmasan",3,6
"185","W","S","BC4",1,"CorpSDmasan",3,6
"186","W","P","BC4",1,"CorpSDmasan",3,6
"187","W","S","BC4",1,"CorpSDmasan",3,6
"188","W","P","BC4",1,"CorpSDmasan",3,6
"189","W","S","BC4",1,"CorpSDmasan",3,6
"190","W","P","BC4",1,"CorpSDmasan",3,6
"191","W","S","BC4",1,"CorpSDmasan",3,6
"192","W","P","BC4",1,"CorpSDmasan",3,6
"193","W","S","BC4",1,"CorpSDmasan",3,6
"194","W","P","BC4",1,"CorpSDmasan",3,6
"195","W","S","BC4",1,"CorpSDmasan",3,6
"196","W","P","BC4",1,"CorpSDmasan",3,6
"197","W","S","BC4",1,"CorpSDmasan",3,6
"198","W","P","BC4",1,"CorpSDmasan",3,6
"199","W","S","BC4",1,"CorpSDmasan",3,6
"200","W","P","BC4",1,"CorpSDmasan",3,6
