,DIA,Length,Weight,MemberCount,JointCount,Emergency,ApplyLeadTime,BLOCK,STG,Service,NO_Serial,Problem,NO_Base,NO_SetPLT,Pass,Sch,Material,Making_Co,After2_Co,Distribution,PaintingLT
3343,2.0,0,3.634,4,3,1,정상,P110A,70,PL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3344,2.0,0,3.634,4,3,1,정상,P110A,70,PL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3345,2.0,0,3.634,4,3,1,정상,P110A,70,PL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3346,2.0,0,3.634,4,3,1,정상,P110A,70,PL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3347,2.0,0,3.634,4,3,1,정상,P110A,70,PL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3348,3.0,1966,19.081,3,2,1,정상,P110A,70,PL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3349,3.0,928,11.186,2,1,1,정상,P110A,70,PL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3350,3.0,618,9.186,2,1,1,정상,P110A,70,PL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3351,3.0,778,18.371,9,9,1,정상,P110A,70,PL,50.0,설계(REV),SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,11.0
3352,4.0,849,14.402999999999999,2,1,1,정상,P110A,70,PL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,11.0
3353,4.0,1948,27.998,4,3,1,정상,P110A,70,PL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,14.0
3354,6.0,472,16.598,2,1,0,정상,P110A,50,PL,64.0,제작지연,SN2126T1PM00PP0500,PP058,A,S-10S,SS,성일,하이에어,조선물류,11.0
3355,6.0,1300,48.403,8,7,0,정상,P110A,30,PL,40.0,제작지연,SN2126TP110APP0300,PP038,A,S-10S,SS,성일,하이에어,조선물류,29.0
3356,4.0,2856,51.25899999999999,13,18,0,정상,P110A,30,PL,40.0,제작지연,SN2126TP110APP0300,PP038,A,S-10S,SS,성일,하이에어,조선물류,29.0
3357,2.0,5800,36.436,11,8,0,정상,P110A,30,WD,40.0,제작지연,SN2126TP110APP0300,PP038,B,S-10S,SS,성일,하이에어,조선물류,14.0
3358,2.0,715,15.283,7,5,0,정상,P110A,30,WD,40.0,제작지연,SN2126TP110APP0300,PP038,B,S-10S,SS,성일,하이에어,조선물류,14.0
3359,20.0,1935,214.97299999999998,2,1,0,정상,P110A,70,FCH,68.0,설계보류,SN2126T1PM00PP0500,PP079A1302,A,S-10S,SS,건일산업(주),건일산업(주),조선물류,13.0
3360,1.0,799,6.231,7,6,0,정상,P110A,30,FWH,40.0,제작지연,SN2126TP110APP0300,PP038,A,S-80S,SS,성일,하이에어,조선물류,14.0
3361,1.0,500,13.24,7,5,0,정상,P110A,30,FWH,40.0,제작지연,SN2126TP110APP0300,PP038,A,S-80S,SS,성일,하이에어,조선물류,14.0
3362,2.0,3999,39.795,10,7,0,정상,P110A,70,FWL,42.0,자재문제,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,건일산업(주),건일산업(주),조선물류,19.0
3363,2.0,4798,39.774,8,5,0,정상,P110A,70,FWL,42.0,자재문제,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,건일산업(주),건일산업(주),조선물류,18.0
3364,2.0,222,6.281000000000001,3,2,1,정상,P110A,70,N,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,14.0
3365,2.0,531,9.686,6,5,1,정상,P110A,70,N,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3366,2.0,2060,27.73,15,14,1,정상,P110A,70,N,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,13.0
3367,6.0,3567,82.96799999999999,7,5,0,정상,P110A,70,FWH,42.0,자재문제,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,건일산업(주),건일산업(주),조선물류,18.0
3368,6.0,5035,111.881,8,5,0,정상,P110A,70,FWH,42.0,자재문제,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,건일산업(주),건일산업(주),조선물류,19.0
3369,4.0,2732,74.334,11,8,0,정상,P110A,30,PL,40.0,제작지연,SN2126TP110APP0300,PP032,B,S-10S,SS,성일,하이에어,조선물류,27.0
3370,4.0,792,28.42,6,4,0,정상,P110A,50,PL,64.0,제작지연,SN2126T1PM00PP0500,PP058,B,S-10S,SS,성일,하이에어,조선물류,11.0
3371,4.0,2952,65.415,11,8,0,정상,P110A,30,PL,40.0,제작지연,SN2126TP110APP0300,PP032,B,S-10S,SS,성일,하이에어,조선물류,27.0
3372,4.0,796,26.736,6,4,0,정상,P110A,50,PL,64.0,제작지연,SN2126T1PM00PP0500,PP058,B,S-10S,SS,성일,하이에어,조선물류,11.0
3373,4.0,3249,36.654,4,2,1,정상,P110A,50,PL,50.0,제작지연,SN2126T1PM00PP0500,PP05RB1304,B,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3374,2.0,272,9.006,7,9,1,정상,P110A,70,N,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,14.0
3375,1.0,479,4.779,8,7,0,정상,P110A,50,FWL,64.0,제작지연,SN2126T1PM00PP0500,PP058,A,S-80S,SS,성일,하이에어,조선물류,11.0
3376,1.0,701,10.405,8,6,0,정상,P110A,50,FWL,64.0,제작지연,SN2126T1PM00PP0500,PP058,A,S-80S,SS,성일,하이에어,조선물류,11.0
3377,2.0,3100,12.297,1,0,1,정상,P110A,50,DM,50.0,제작지연,SN2126T1PM00PP0500,PP05RB1204,B,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3378,10.0,2600,126.734,13,16,0,정상,P110A,50,FWL,77.0,제작지연,SN2126T1PM00PP0500,PP058A1303,A,S-10S,SS,성일,하이에어,조선물류,13.0
3379,10.0,1500,60.25899999999999,14,18,0,정상,P110A,50,FWL,77.0,제작지연,SN2126T1PM00PP0500,PP058P1303,A,S-10S,SS,성일,하이에어,조선물류,11.0
3380,30.0,2850,1136.63,18,23,0,정상,P110A,50,FWH,64.0,제작지연,SN2126T1PM00PP0500,PP058A1301,A,S-10S,SS,성일,하이에어,조선물류,12.0
3381,6.0,1812,33.239000000000004,4,3,0,정상,P110A,50,FWH,77.0,제작지연,SN2126T1PM00PP0500,PP058A1304,A,S-10S,SS,성일,하이에어,조선물류,13.0
3382,36.0,0,509.166,4,2,1,정상,P110A,50,FCH,50.0,제작지연,SN2126T1PM00PP0500,PP05RA1301,A,S-10,SS,건일산업(주),건일산업(주),조선물류,16.0
3383,36.0,0,474.3,4,3,1,정상,P110A,70,FCH,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1301,A,S-10,SS,건일산업(주),건일산업(주),조선물류,12.0
3384,28.0,6000,1469.0,4,3,1,정상,P110A,70,FCH,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1302,A,S-10,SS,삼성중공업(주)거제,하이에어,조선물류,14.0
3385,18.0,1329,89.12299999999999,2,1,1,정상,P110A,70,FCH,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1303,A,S-10S,SS,건일산업(주),건일산업(주),조선물류,13.0
3386,30.0,1500,449.158,11,16,0,정상,P110A,50,FWH,64.0,제작지연,SN2126T1PM00PP0500,PP058A1301,A,S-10S,SS,성일,하이에어,조선물류,11.0
3387,20.0,2977,597.639,11,10,0,정상,P110A,50,FCH,42.0,설계문제,SN2126T1PM00PP0500,PP05RA1302,A,S-10S,SS,건일산업(주),건일산업(주),조선물류,11.0
3388,28.0,6000,1122.59,15,17,1,정상,P110A,70,FCH,50.0,기타,SN2126T1PM00PP0500,PP07MA1302,A,S-10,SS,건일산업(주),건일산업(주),조선물류,11.0
3389,2.0,1600,6.792999999999999,2,1,1,정상,P110A,70,FWL,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3390,6.0,2100,34.443000000000005,2,1,1,정상,P110A,70,FWH,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3391,6.0,1471,80.952,12,11,1,정상,P110A,70,CDD,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3392,6.0,508,18.327,2,1,1,정상,P110A,70,CDD,50.0,제작지연,SN2126T1PM00PP0500,PP07MA1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3393,6.0,3856,53.341,1,0,1,정상,P110A,70,CDD,50.0,제작지연,SN2126T1PM00PP0500,PP079A1304,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,10.0
3394,2.0,3918,35.650999999999996,11,8,0,준긴급,P110A,30,DM,22.0,설계(REV),SN2126TP110APP0300,PP038B1304,B,S-10S,SS,성일,하이에어,조선물류,11.0
3395,2.0,5500,32.341,7,4,0,준긴급,P110A,30,WD,22.0,설계(REV),SN2126TP110APP0300,PP038B1304,B,S-10S,SS,성일,하이에어,조선물류,11.0
3396,2.0,2357,19.048,5,3,0,준긴급,P110A,30,WD,22.0,설계(REV),SN2126TP110APP0300,PP038B1304,B,S-10S,SS,성일,하이에어,조선물류,11.0
3397,2.0,6000,35.027,8,5,0,준긴급,P110A,30,WD,22.0,설계(REV),SN2126TP110APP0300,PP038B1204,B,S-10S,SS,성일,하이에어,조선물류,11.0
3398,2.0,5435,32.539,7,4,0,준긴급,P110A,30,WD,22.0,설계(REV),SN2126TP110APP0300,PP038B1204,B,S-10S,SS,성일,하이에어,조선물류,11.0
3399,2.0,848,11.949000000000002,8,6,0,준긴급,P110A,30,WD,22.0,설계(REV),SN2126TP110APP0300,PP038B1104,B,S-10S,SS,성일,하이에어,조선물류,11.0
3400,0.75,100,1.123,2,1,0,준긴급,P110A,30,WD,22.0,설계(REV),SN2126TP110APP0300,PP038B1205,B,S-80S,SS,성일,하이에어,조선물류,11.0
3401,2.0,3312,22.055,5,3,0,정상,P110A,50,DM,14.0,제작지연,SN2126T1PM00PP0500,PP05RB1304,B,S-10S,SS,건일산업(주),건일산업(주),조선물류,16.0
3402,2.0,1600,6.347,1,0,0,정상,P110A,50,WD,14.0,제작지연,SN2126T1PM00PP0500,PP05RB1304,B,S-10S,SS,건일산업(주),건일산업(주),조선물류,16.0
3403,4.0,50,0.419,1,0,1,최소,P110A,70,PL,30.0,LT부족,SN2126T1PM00PP0500,PP051SSP,A,S-10S,SS,삼성중공업(주)거제,하이에어,조선물류,17.0
3404,6.0,6000,297.966,4,2,1,정상,P310B,50,FW,70.0,제작지연,SN2126T3PM00PP0500,PP058,A,T-6.35,CN,부흥,하이에어,조선물류,17.0
3405,4.0,0,13.0,2,1,1,정상,P310B,50,FW,70.0,제작지연,SN2126T3PM00PP0500,PP058,A,T-6.35,CN,부흥,하이에어,조선물류,17.0
3406,3.0,5654,71.87,3,2,1,정상,P310B,40,FW,70.0,제작지연,SN2126TP31PTPP0400,PP048,B,T-5.56,CN,부흥,하이에어,조선물류,16.0
3407,3.0,2822,66.788,13,12,1,정상,P310B,30,FW,40.0,제작지연,SN2126TP310BPP0300,PP038,B,T-5.56,CN,부흥,하이에어,조선물류,14.0
3408,3.0,1100,12.833,1,0,1,정상,P310B,50,FW,40.0,제작지연,SN2126TP310BPP0300,PP05R,B,T-5.56,CN,부흥,하이에어,조선물류,14.0
3409,6.0,1470,142.017,10,9,1,정상,P310B,50,FW,70.0,제작지연,SN2126T3PM00PP0500,PP058,B,T-6.35,CN,부흥,하이에어,조선물류,10.0
3410,6.0,4794,150.825,2,1,1,정상,P310B,50,FW,70.0,제작지연,SN2126T3PM00PP0500,PP058,B,T-6.35,CN,부흥,하이에어,조선물류,10.0
3411,6.0,1725,75.143,5,3,1,정상,P310B,50,FW,70.0,제작지연,SN2126T3PM00PP0500,PP058,B,T-6.35,CN,부흥,하이에어,조선물류,17.0
3412,6.0,929,67.35600000000001,5,2,1,정상,P310B,50,FW,70.0,제작지연,SN2126T3PM00PP0500,PP058,B,T-6.35,CN,부흥,하이에어,조선물류,17.0
3413,1.0,3149,8.519,1,0,1,정상,P310A,50,FW,70.0,제작지연,SN2126T3PM00PP0500,PP058,A,T-3.2,CN,부흥,하이에어,조선물류,16.0
3414,1.0,1257,14.265999999999998,17,8,1,정상,P310A,30,FW,40.0,제작지연,SN2126TP310APP0300,PP038,A,T-3.2,CN,부흥,하이에어,조선물류,14.0
3415,1.0,285,10.71,16,7,1,정상,P310A,30,FW,40.0,제작지연,SN2126TP310APP0300,PP038,A,T-3.2,CN,부흥,하이에어,조선물류,14.0
3416,1.5,1151,24.976999999999997,13,8,1,정상,P310A,50,FW,70.0,제작지연,SN2126T3PM00PP0500,PP058,A,T-3.81,CN,부흥,하이에어,조선물류,18.0
3417,1.0,241,5.846,8,0,1,정상,P310A,50,FW,40.0,제작지연,SN2126T3PM00PP0500,PP058,A,S-80S,CN,부흥,하이에어,조선물류,17.0
3418,1.5,1494,23.795,16,7,1,정상,P310A,50,FW,40.0,제작지연,SN2126T3PM00PP0500,PP058,A,T-3.81,CN,부흥,하이에어,조선물류,15.0
3419,1.5,1493,24.467,17,7,1,정상,P310A,50,FW,40.0,제작지연,SN2126T3PM00PP0500,PP058,A,T-3.81,CN,부흥,하이에어,조선물류,44.0
3420,1.0,241,5.846,8,0,1,정상,P310A,50,FW,40.0,제작지연,SN2126T3PM00PP0500,PP059,A,S-80S,CN,부흥,하이에어,조선물류,20.0
3421,8.0,5568,210.558,1,0,1,정상,P310A,40,FW,70.0,제작지연,SN2126TP31PTPP0400,PP048,A,T-6.35,CN,부흥,하이에어,조선물류,9.0
3422,8.0,6000,239.704,3,1,1,정상,P310A,40,FW,70.0,제작지연,SN2126TP31PTPP0400,PP048,A,T-6.35,CN,부흥,하이에어,조선물류,9.0
3423,8.0,4002,169.44299999999998,2,1,1,정상,P310A,30,FW,40.0,제작지연,SN2126TP310APP0300,PP032,B,T-6.35,CN,부흥,하이에어,조선물류,14.0
3424,8.0,4307,185.044,4,3,1,정상,P310A,30,FW,40.0,제작지연,SN2126TP310APP0300,PP032,B,T-6.35,CN,부흥,하이에어,조선물류,15.0
3425,8.0,550,94.18700000000001,7,4,1,정상,P310A,30,FW,40.0,제작지연,SN2126TP310APP0300,PP032,B,T-6.35,CN,부흥,하이에어,조선물류,14.0
3426,6.0,6000,289.668,4,2,1,정상,P310A,40,FW,70.0,제작지연,SN2126TP31PTPP0400,PP048,A,T-6.35,CN,부흥,하이에어,조선물류,7.0
3427,6.0,457,59.367,5,4,1,정상,P310A,30,FW,40.0,제작지연,SN2126TP310APP0300,PP032,B,T-6.35,CN,부흥,하이에어,조선물류,15.0
3428,6.0,1000,67.452,5,3,1,정상,P310A,30,FW,40.0,제작지연,SN2126TP310APP0300,PP038,B,T-6.35,CN,부흥,하이에어,조선물류,14.0
3429,6.0,942,67.735,5,3,1,정상,P310A,30,FW,40.0,제작지연,SN2126TP310APP0300,PP032,B,T-6.35,CN,부흥,하이에어,조선물류,14.0
3430,1.0,251,0.922,1,0,1,정상,P310A,40,FW,70.0,LT부족,SN2126TP31PTPP0400,PP041CNP,A,S-80S,CN,부흥,하이에어,조선물류,8.0
3431,1.0,52,0.141,1,0,1,정상,P310A,40,FW,70.0,LT부족,SN2126TP31PTPP0400,PP041CNP,A,T-3.2,CN,부흥,하이에어,조선물류,8.0
3432,1.5,500,2.372,1,0,1,준긴급,P310A,40,FW,70.0,LT부족,SN2126TP31PTPP0400,PP041P1205,A,T-3.81,CN,부흥,하이에어,조선물류,15.0
3433,1.5,487,2.311,1,0,1,준긴급,P310A,40,FW,70.0,LT부족,SN2126TP31PTPP0400,PP041P1205,A,T-3.81,CN,부흥,하이에어,조선물류,15.0
3434,1.5,200,0.9490000000000001,1,0,1,준긴급,P310A,40,FW,70.0,LT부족,SN2126TP31PTPP0400,PP041P1205,A,T-3.81,CN,부흥,하이에어,조선물류,15.0
3435,1.5,294,1.395,1,0,1,준긴급,P310A,40,FW,70.0,LT부족,SN2126TP31PTPP0400,PP041P1205,A,T-3.81,CN,부흥,하이에어,조선물류,15.0
3436,1.5,222,1.053,1,0,1,준긴급,P310A,40,FW,70.0,LT부족,SN2126TP31PTPP0400,PP041P1205,A,T-3.81,CN,부흥,하이에어,조선물류,15.0
3437,1.5,200,0.9490000000000001,1,0,1,준긴급,P310A,40,FW,70.0,LT부족,SN2126TP31PTPP0400,PP041P1205,A,T-3.81,CN,부흥,하이에어,조선물류,15.0
3438,1.0,300,2.6,3,2,1,정상,P310B,30,DA,60.0,자재문제,SN2126TP310BPP0300,PP038,A,S-160,CS,성일SIM함안공장,성일SIM함안공장,조선물류,15.0
3439,1.0,299,2.596,3,2,1,정상,P310B,30,DA,60.0,자재문제,SN2126TP310BPP0300,PP038,A,S-160,CS,성일SIM함안공장,성일SIM함안공장,조선물류,15.0
3440,10.0,3525,147.204,1,0,1,정상,P310B,40,PL,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-20,CS,(주)성광테크,(주)성광테크,조선물류,21.0
3441,2.0,60,8.697000000000001,4,3,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,15.0
3442,2.0,2227,52.409,16,15,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,15.0
3443,2.0,1147,20.485,6,5,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,18.0
3444,2.0,200,4.922,2,1,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,9.0
3445,1.0,0,2.95,5,3,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,15.0
3446,2.0,60,8.697000000000001,4,3,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,15.0
3447,2.0,2227,52.409,16,15,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,16.0
3448,2.0,1147,20.485,6,5,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,18.0
3449,2.0,200,4.922,2,1,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,9.0
3450,1.0,0,2.95,5,3,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,15.0
3451,2.0,1621,18.005,4,3,1,정상,P310B,50,DH,40.0,제작지연,SN2126T3PM00PP0500,PP058,A,S-80,CS,성일SIM함안공장,삼녹,조선물류,22.0
3452,2.0,930,14.362,3,2,1,정상,P310B,30,PA,60.0,자재문제,SN2126TP310BPP0300,PP038,A,S-160,CS,성일SIM함안공장,성일SIM함안공장,조선물류,15.0
3453,2.0,172,6.898,8,7,1,정상,P310B,40,PA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-160,CS,(주)성광테크,(주)성광테크,조선물류,15.0
3454,2.0,686,14.065999999999999,8,7,1,정상,P310B,40,PA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-80,CS,(주)성광테크,(주)성광테크,조선물류,15.0
3455,2.0,123,11.247,5,4,1,정상,P310B,30,PA,60.0,기타,SN2126TP310BPP0300,PP038,A,S-160,CS,건일산업(주),건일산업(주),조선물류,31.0
3456,2.0,1118,16.451,3,2,1,정상,P310B,30,PA,60.0,자재문제,SN2126TP310BPP0300,PP038,A,S-160,CS,건일산업(주),건일산업(주),조선물류,43.0
3457,2.0,710,14.562999999999999,6,5,1,정상,P310B,30,PA,60.0,기타,SN2126TP310BPP0300,PP038,A,S-80,CS,건일산업(주),건일산업(주),조선물류,22.0
3458,2.0,716,26.138,8,7,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP038,A,S-160,CS,건일산업(주),하이에어,조선물류,40.0
3459,3.0,2030,52.411,6,5,1,정상,P310B,40,DA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-80,CS,(주)성광테크,(주)성광테크,조선물류,17.0
3460,2.0,1260,16.699,2,1,1,정상,P310B,30,DA,60.0,자재문제,SN2126TP310BPP0300,PP038,A,S-160,CS,건일산업(주),건일산업(주),조선물류,47.0
3461,2.0,1330,17.476,2,1,1,정상,P310B,30,DA,60.0,자재문제,SN2126TP310BPP0300,PP038,A,S-160,CS,건일산업(주),건일산업(주),조선물류,43.0
3462,2.0,679,20.561,8,7,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP038,A,S-160,CS,건일산업(주),건일산업(주),조선물류,50.0
3463,3.0,834,39.333,15,20,1,정상,P310B,40,PA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-40,CS,(주)성광테크,(주)성광테크,조선물류,16.0
3464,3.0,834,41.099,12,11,1,정상,P310B,40,PA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-40,CS,(주)성광테크,(주)성광테크,조선물류,16.0
3465,3.0,834,40.86,15,20,1,정상,P310B,40,PA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-40,CS,(주)성광테크,(주)성광테크,조선물류,26.0
3466,3.0,834,38.931,11,10,1,정상,P310B,40,PA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-40,CS,(주)성광테크,(주)성광테크,조선물류,16.0
3467,3.0,1257,28.496,4,3,1,정상,P310B,30,PA,60.0,기타,SN2126TP310BPP0300,PP038,A,S-80,CS,건일산업(주),건일산업(주),조선물류,52.0
3468,3.0,3312,50.574,1,0,1,정상,P310B,40,PA,40.0,제작지연,SN2126TP31PTPP0400,PP048,A,S-80,CS,(주)성광테크,(주)성광테크,조선물류,22.0
3469,1.0,569,3.471,2,1,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,20.0
3470,1.0,994,9.754,8,7,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,25.0
3471,1.0,852,4.65,2,1,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP038,B,S-160,CS,건일산업(주),건일산업(주),조선물류,10.0
3472,1.0,1094,12.071,7,6,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP035,B,S-160,CS,건일산업(주),건일산업(주),조선물류,43.0
3473,1.0,1290,13.792,9,8,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,25.0
3474,1.0,973,7.664,4,3,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,28.0
3475,1.0,2152,12.967,3,2,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,22.0
3476,1.0,973,7.664,4,3,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,29.0
3477,1.0,2152,12.812999999999999,3,2,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,22.0
3478,1.0,569,3.471,2,1,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,14.0
3479,1.0,2374,12.437999999999999,6,5,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,19.0
3480,1.0,1074,10.617,6,5,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,25.0
3481,1.0,552,3.4,2,1,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,20.0
3482,1.0,1239,9.067,7,6,1,정상,P310B,30,DA,60.0,기타,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,25.0
3483,1.0,2159,13.004000000000001,3,2,1,정상,P310B,30,DA,60.0,자재문제,SN2126TP310BPP0300,PP032,B,S-160,CS,건일산업(주),건일산업(주),조선물류,44.0
3484,10.0,1372,132.14,6,5,1,정상,P310B,30,PL,60.0,설계문제,SN2126TP310BPP0300,PP032,B,S-20,CS,(주)성광테크,(주)성광테크,조선물류,9.0
3485,10.0,2310,120.46600000000001,2,1,1,정상,P310B,30,PL,60.0,제작지연,SN2126TP310BPP0300,PP032,B,S-20,CS,(주)성광테크,(주)성광테크,조선물류,13.0
3486,2.0,676,16.088,8,6,1,정상,P310B,30,DH,60.0,제작지연,SN2126TP310BPP0300,PP032,B,S-80,CS,(주)성광테크,(주)성광테크,조선물류,26.0
3487,2.0,2933,49.104,11,10,1,정상,P310B,30,PA,60.0,기타,SN2126TP310BPP0300,PP035,B,S-160,CS,건일산업(주),건일산업(주),조선물류,49.0
3488,2.0,1220,16.254,2,1,1,정상,P310B,50,PA,60.0,기타,SN2126TP310BPP0300,PP05R,B,S-160,CS,건일산업(주),건일산업(주),조선물류,26.0
3489,2.0,1739,19.32,1,0,1,정상,P310B,50,PA,60.0,기타,SN2126TP310BPP0300,PP05R,B,S-160,CS,건일산업(주),건일산업(주),조선물류,18.0
3490,2.0,4378,59.068000000000005,6,5,1,정상,P310B,30,PA,60.0,제작지연,SN2126TP310BPP0300,PP032,B,S-160,CS,(주)성광테크,(주)성광테크,조선물류,13.0
3491,2.0,2798,36.72,5,4,1,정상,P310B,30,PA,60.0,제작지연,SN2126TP310BPP0300,PP032,B,S-160,CS,(주)성광테크,(주)성광테크,조선물류,22.0
3492,2.0,6048,67.193,1,0,1,정상,P310B,30,PA,60.0,제작지연,SN2126TP310BPP0300,PP032,B,S-160,CS,(주)성광테크,(주)성광테크,조선물류,16.0
3493,2.0,1573,24.444000000000003,5,4,1,정상,P310B,30,PA,60.0,자재문제,SN2126TP310BPP0300,PP035,B,S-160,CS,건일산업(주),건일산업(주),조선물류,37.0
