,After2_Co,ApplyLeadTime,BLOCK,DIA,Distribution,Emergency,JointCount,Length,Making_Co,Material,MemberCount,NO_Base,NO_Serial,NO_SetPLT,No_row,PaintingLT,Pass,Problem,STG,Sch,Service,Weight
31,(주)성광테크,정상,C020B,1.0,조선물류,1.0,7.0,2852.0,(주)성광테크,CS,8.0,SN2126TC020BPP0300,60.0,PP039A1105,36,20.0,B,LT부족,3B,S-80,AU,19.476
32,건일산업(주),준긴급,C020B,2.0,조선물류,1.0,5.0,1799.0,건일산업(주),CS,6.0,SN2126T0C200PP0500,60.0,PP058A1104,37,18.0,B,LT부족,50,S-80,N,25.404
33,건일산업(주),준긴급,C020B,2.0,조선물류,1.0,8.0,2529.0,건일산업(주),CS,9.0,SN2126T0C200PP0500,60.0,PP058A1104,38,14.0,B,설계보류,50,S-80,AI,25.228
34,건일산업(주),준긴급,C020B,2.0,조선물류,1.0,6.0,3928.0,건일산업(주),CS,7.0,SN2126T0C200PP0500,60.0,PP058A1104,39,14.0,B,설계보류,50,S-80,N,41.091
35,건일산업(주),준긴급,C020B,6.0,조선물류,1.0,1.0,2772.0,건일산업(주),CS,2.0,SN2126TC020BPP03B0,60.0,PP039A1104,40,18.0,B,기타,3B,S-40,FWH,88.277
36,건일산업(주),준긴급,C020B,6.0,조선물류,1.0,0.0,3803.0,건일산업(주),CS,1.0,SN2126TC020BPP03B0,60.0,PP039A1104,41,22.0,B,제작지연,3B,S-40,FWH,107.473
37,건일산업(주),준긴급,C020B,6.0,조선물류,1.0,1.0,11123.0,건일산업(주),CS,2.0,SN2126TC020BPP03B0,60.0,PP039A1104,42,19.0,B,기타,3B,S-40,FWH,324.276
38,건일산업(주),정상,C020B,2.0,조선물류,1.0,5.0,4616.0,건일산업(주),CS,6.0,SN2126TC020BPP03B0,60.0,PP039A1104,43,22.0,B,LT부족,3B,S-80,AU,46.6
39,건일산업(주),정상,C020B,4.0,조선물류,1.0,6.0,2999.0,건일산업(주),CS,7.0,SN2126TC020BPP03B0,60.0,PP039A1104,44,18.0,B,LT부족,3B,S-40,AI,63.789
40,건일산업(주),정상,C020B,0.5,조선물류,1.0,1.0,78.0,건일산업(주),CS,2.0,SN2126TC020BPP03B0,60.0,PP039A1105,45,23.0,B,LT부족,3B,S-80,N,0.926
41,건일산업(주),정상,C020B,0.5,조선물류,1.0,1.0,75.0,건일산업(주),CS,2.0,SN2126TC020BPP03B0,60.0,PP039A1105,46,23.0,B,LT부족,3B,S-80,AI,0.922
42,건일산업(주),정상,C020B,2.0,조선물류,1.0,9.0,2973.0,건일산업(주),CS,10.0,SN2126TC020BPP03B0,60.0,PP039A1104,47,23.0,B,LT부족,3B,S-80,N,48.231
43,건일산업(주),정상,C020B,2.0,조선물류,1.0,5.0,6000.0,건일산업(주),CS,6.0,SN2126TC020BPP03B0,60.0,PP039A1104,48,21.0,B,LT부족,3B,S-80,N,60.503
